Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai QF,L vs Medvedev,47.6%,55.0%,2.4%,1/0,2.09,5.7%,45.7%,50.0%,0.0%,2.06,7.1%,57.1%,75.0%,14.3%,2.21,0.0%
2026 Australian Open R128,L vs Bublik,63.8%,45.0%,3.2%,3/0,2.50,13.6%,61.8%,42.9%,1.5%,2.47,20.5%,85.7%,50.0%,9.5%,2.54,3.7%
2025 Tokyo SF,L vs Fritz,54.8%,47.1%,0.0%,0/0,2.70,2.3%,47.8%,31.8%,0.0%,2.60,3.3%,75.0%,75.0%,0.0%,2.92,0.0%
2025 Washington R64,L vs Nishioka,78.0%,45.1%,4.4%,2/2,2.24,13.0%,73.8%,32.3%,2.4%,2.07,26.3%,93.0%,55.0%,7.0%,2.40,0.0%
2025 Wimbledon R64,L vs Fonseca,68.0%,49.4%,9.4%,5/7,2.21,0.8%,65.9%,48.3%,6.8%,2.23,1.3%,80.6%,51.7%,16.7%,2.16,0.0%
2025 Eastbourne F,L vs Fritz,63.6%,52.4%,4.5%,3/0,2.35,23.8%,55.0%,50.0%,2.5%,2.27,33.3%,80.0%,55.0%,8.0%,2.54,0.0%
2025 Houston F,W vs Tiafoe,87.3%,56.3%,3.6%,2/0,2.44,10.3%,85.7%,45.8%,7.1%,2.44,14.8%,96.0%,66.7%,0.0%,2.42,0.0%
2025 Houston SF,W vs Paul,64.9%,51.4%,2.7%,2/1,2.25,10.2%,56.5%,57.1%,1.6%,2.27,15.0%,84.1%,45.9%,4.5%,2.21,0.0%
2025 Australian Open R128,L vs Fritz,61.4%,37.2%,12.9%,8/1,2.42,1.5%,53.2%,32.0%,2.1%,2.29,2.6%,81.8%,44.4%,36.4%,2.62,0.0%
2023 Australian Open R64,W vs Ruud,70.7%,61.7%,1.5%,1/1,2.21,33.9%,68.7%,54.4%,1.2%,2.43,61.2%,80.4%,73.0%,2.2%,1.94,0.0%
2022 Seoul SF,L vs Shapovalov,52.5%,46.9%,3.3%,0/2,-,8.7%,50.0%,55.0%,2.5%,-,16.0%,80.0%,33.3%,6.7%,-,0.0%
2022 Seoul R16,W vs Kwon,83.6%,50.0%,3.6%,1/1,2.29,14.6%,85.7%,52.8%,4.8%,2.15,22.6%,83.3%,40.0%,0.0%,2.56,0.0%
2022 Seoul R32,W vs Wu,66.3%,50.9%,8.4%,3/4,2.52,3.8%,66.0%,54.3%,3.8%,2.29,6.0%,74.1%,45.0%,18.5%,2.93,0.0%
2022 San Diego R16,W vs Mcdonald,80.8%,46.0%,1.3%,1/0,2.12,7.1%,76.9%,45.0%,0.0%,2.05,10.8%,92.0%,47.8%,4.0%,2.24,0.0%
2022 US Open R32,L vs Alcaraz,70.3%,42.3%,13.5%,4/6,2.16,8.6%,64.7%,36.4%,3.9%,1.80,13.3%,95.0%,52.6%,40.0%,2.80,0.0%
2022 Cincinnati R64,L vs Paul,65.3%,31.3%,6.1%,0/3,2.32,8.1%,58.3%,21.4%,0.0%,2.28,15.0%,78.3%,38.9%,13.0%,2.38,0.0%
2022 Canada R32,L vs Bautista Agut,68.8%,50.0%,3.1%,0/2,-,11.9%,61.8%,42.9%,0.0%,-,20.0%,79.3%,56.5%,6.9%,-,0.0%
2022 Atlanta F,L vs De Minaur,69.0%,50.0%,0.0%,0/0,2.30,14.0%,56.8%,52.4%,0.0%,2.31,17.9%,90.5%,47.4%,0.0%,2.27,6.7%
2022 Rome R16,L vs Ruud,65.6%,35.7%,3.1%,1/1,1.87,5.7%,59.1%,23.1%,2.3%,1.77,6.9%,94.1%,56.3%,5.9%,1.98,4.2%
2022 Miami R16,L vs Medvedev,62.1%,36.1%,0.0%,0/0,-,7.5%,62.5%,24.0%,0.0%,-,10.3%,78.6%,63.6%,0.0%,-,0.0%
Career (37 matches),,68.6%,49.5%,4.3%,53.2%,2.29,10.7%,63.3%,46.0%,2.7%,2.24,16.7%,85.2%,54.3%,7.7%,2.38,0.6%
