Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
1997 Roland Garros F,L vs Kuerten,31% (4/13),25% (1/4),1/3,57% (8/14),25% (2/8),1/1,0/0,0/3,0/0,0/1
1997 Roland Garros SF,W vs Rafter,43% (9/21),89% (8/9),2/4,32% (7/22),29% (2/7),4/8,2/4,4/4,0/0,0/0
1997 Miami F,L vs Muster,7% (1/14),0% (0/1),0/3,29% (4/14),0% (0/4),0/0,0/0,1/2,0/0,0/1
1997 Miami SF,W vs Sampras,24% (4/17),100% (4/4),2/4,29% (5/17),20% (1/5),3/4,1/1,0/0,1/1,0/0
1996 Atlanta Olympics F,L vs Agassi,17% (2/12),50% (1/2),0/6,58% (7/12),0% (0/7),0/1,0/0,1/2,0/0,0/0
1996 Roland Garros R64,L vs Sampras,36% (9/25),22% (2/9),0/3,13% (3/23),0% (0/3),2/2,1/1,3/3,0/0,1/1
1995 Roland Garros SF,L vs Chang,41% (7/17),43% (3/7),1/4,24% (4/17),0% (0/4),1/3,0/1,2/2,0/0,1/1
1995 Rome F,L vs Muster,44% (8/18),63% (5/8),2/7,45% (9/20),11% (1/9),4/5,1/1,2/3,0/0,0/1
1995 Rome SF,W vs Ivanisevic,40% (4/10),100% (4/4),1/2,30% (3/10),33% (1/3),1/2,0/1,0/0,0/1,0/0
1995 Hamburg SF,L vs Ivanisevic,20% (3/15),100% (3/3),0/3,19% (3/16),0% (0/3),2/3,1/2,4/4,0/0,3/3
1994 Tour Finals SF,L vs Becker,20% (3/15),0% (0/3),0/2,43% (6/14),50% (3/6),0/0,0/0,0/1,0/0,0/0
1994 Paris SF,L vs Agassi,30% (3/10),33% (1/3),1/3,40% (4/10),25% (1/4),1/1,0/0,2/2,0/0,1/1
1994 Roland Garros F,W vs Berasategui,44% (8/18),75% (6/8),0/2,28% (5/18),40% (2/5),5/5,2/2,1/2,0/0,0/0
1994 Roland Garros SF,W vs Courier,50% (10/20),80% (8/10),1/4,32% (6/19),33% (2/6),4/6,1/2,0/0,0/0,0/0
1994 Monte Carlo F,L vs Medvedev,29% (4/14),75% (3/4),1/7,57% (8/14),0% (0/8),0/3,0/0,0/1,0/0,0/0
1994 Monte Carlo SF,W vs Edberg,50% (5/10),60% (3/5),0/1,20% (2/10),50% (1/2),1/2,0/0,0/0,0/0,0/0
1993 Tour Finals RR,L vs Edberg,11% (1/9),100% (1/1),0/4,44% (4/9),0% (0/4),1/1,0/0,1/1,0/0,0/0
1993 Roland Garros SF,W vs Medvedev,75% (9/12),67% (6/9),0/0,0% (0/12),- (0/0),3/3,0/0,0/0,0/0,0/0
1993 Monte Carlo F,W vs Pioline,89% (8/9),63% (5/8),0/2,22% (2/9),0% (0/2),5/5,1/3,0/0,1/1,0/0
1993 Monte Carlo SF,W vs Muster,36% (5/14),60% (3/5),1/4,40% (6/15),17% (1/6),1/2,0/0,2/3,0/0,2/2
1997 (4 matches),,27.7%,72.2%,35.7%,35.8%,20.8%,61.5%,60.0%,55.6%,100.0%,0.0%
1996 (2 matches),,29.7%,27.3%,0.0%,28.6%,0.0%,66.7%,100.0%,80.0%,-,100.0%
1995 (4 matches),,36.7%,68.2%,25.0%,30.2%,10.5%,61.5%,40.0%,88.9%,0.0%,80.0%
1994 (6 matches),,37.9%,63.6%,15.8%,36.5%,29.0%,64.7%,75.0%,50.0%,-,100.0%
1993 (4 matches),,52.3%,65.2%,10.0%,26.7%,8.3%,90.9%,33.3%,75.0%,100.0%,100.0%
Career (22 matches),,37.0%,66.7%,21.8%,33.9%,19.8%,66.7%,60.0%,73.0%,75.0%,72.7%
