Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2007,5,3,2,60.0%,7-5,58.3%,62-49,55.9%,0-1,0.0%,3,-,-,2.3%,4.5%,63.2%,63.3%,50.6%,58.6%,45.3%,52.2%,1.10,QF (Auckland)
2006,19,10,9,52.6%,22-16,57.9%,169-165,50.6%,2-0,100.0%,6,-,-,1.7%,6.8%,66.5%,56.9%,46.4%,53.4%,43.7%,48.4%,0.94,QF (2x)
2005,10,3,7,30.0%,8-12,40.0%,88-97,47.6%,1-2,33.3%,1,-,-,0.0%,9.6%,57.7%,51.7%,27.3%,41.3%,53.8%,46.7%,0.92,R16 (2x)
2004,58,40,18,69.0%,82-46,64.1%,661-532,55.4%,5-6,45.5%,12,-,-,1.8%,7.3%,66.5%,64.1%,45.0%,57.7%,50.9%,54.2%,1.20,W (Canberra)
2003,56,35,21,62.5%,78-51,60.5%,642-547,54.0%,5-1,83.3%,12,-,-,2.2%,7.9%,61.5%,62.3%,50.6%,57.8%,47.8%,52.9%,1.13,W (Vienna)
2002,58,33,25,56.9%,77-58,57.0%,647-569,53.2%,5-2,71.4%,0,,,,,,,,,,,,F (Acapulco)
2001,39,25,14,64.1%,49-36,57.6%,434-378,53.4%,5-4,55.6%,0,,,,,,,,,,,,W (Bogota)
2000,55,31,24,56.4%,71-56,55.9%,631-558,53.1%,5-9,35.7%,0,,,,,,,,,,,,F (2x)
1999,32,18,14,56.3%,38-36,51.4%,333-320,51.0%,2-1,66.7%,0,,,,,,,,,,,,F (Madrid)
1998,19,10,9,52.6%,21-19,52.5%,188-174,51.9%,1-2,33.3%,0,,,,,,,,,,,,W (Bogota)
1997,21,6,15,28.6%,14-27,34.1%,156-215,42.0%,4-4,50.0%,0,,,,,,,,,,,,R16 (Hamburg)
1996,26,13,13,50.0%,24-25,49.0%,204-211,49.2%,4-5,44.4%,0,,,,,,,,,,,,SF (Bol)
1995,8,2,6,25.0%,4-9,30.8%,54-65,45.4%,0-1,0.0%,0,,,,,,,,,,,,R16 (Prague)
1994,13,5,8,38.5%,11-16,40.7%,106-131,44.7%,1-1,50.0%,0,,,,,,,,,,,,SF (Prague)
1993,3,2,1,66.7%,4-2,66.7%,33-26,55.9%,0-0,-,0,,,,,,,,,,,,QF (Curitiba)
Career,422,236,186,55.9%,510-414,55.2%,4408-4037,52.2%,40-39,50.6%,34,-,-,1.9%,7.3%,64.0%,61.6%,47.0%,56.3%,48.1%,52.2%,1.10,
