Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2012,,,,,,,,,,,48,1855,,
2007,300,82,,,,,,,,,,,,
2006,178,155,,,,,,,,,,,,
2005,238,132,,,,,,,,,,,,
2004,16,1535,21,1948,28,1832,13,1915,24,1763,,,,
2003,14,1526,18,1962,25,1850,14,1913,39,1703,,,,
2002,27,1091,46,1853,64,1713,24,1854,88,1565,,,,
2001,27,968,51,1804,75,1658,22,1834,90,1553,,,,
2000,36,838,53,1811,82,1645,34,1794,90,1564,,,,
1999,72,421,91,1712,129,1540,63,1688,142,1440,,,,
1998,80,345,129,1591,151,1471,95,1601,154,1387,,,,
1997,118,210,147,1547,157,1449,116,1557,152,1390,,,,
1996,62,356,79,1731,104,1579,47,1728,101,1496,,,,
1995,122,13,104,1660,146,1471,59,1680,,,,,,
1994,114,13,,,,,,,,,,,,
1993,197,6,,,,,,,,,,,,
1992,224,4,,,,,,,,,,,,
1991,426,1,171,1648,,,127,1636,,,,,,
