Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2021-05-31),1071,12,,,,,,,,,,,,
2020,1031,12,,,,,,,,,,,,
2019,998,12,,,,,,,,,,,,
2017,516,58,,,,,,,,,766,33,,
2016,200,279,133,1611,129,1581,119,1544,119,1512,310,180,,
2015,101,629,103,1695,89,1669,101,1598,122,1523,150,447,,
2014,146,378,130,1627,124,1583,111,1593,135,1467,90,864,,
2013,127,499,100,1694,77,1672,97,1618,126,1508,82,1085,,
2012,51,1140,83,1742,82,1687,73,1678,91,1567,82,1021,,
2011,89,744,100,1704,99,1653,86,1657,111,1532,80,1063,,
2010,134,502,136,1636,129,1594,123,1564,144,1469,130,572,,
2009,177,328,176,1521,174,1483,176,1459,154,1467,,,,
2008,160,199,175,1541,172,1497,152,1509,,,,,,
2007,285,88,185,1494,191,1431,171,1468,,,,,,
2006,302,76,,,,,,,,,,,,
2005,1156,4,,,,,,,,,,,,
