Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,5,0,5,0.0%,1-10,9.1%,29-63,31.5%,0-1,0.0%,0,,,,,,,,,,,,R32 (3x)
2023,5,2,3,40.0%,4-6,40.0%,40-47,46.0%,0-0,-,0,,,,,,,,,,,,R16 (2x)
2022,24,13,11,54.2%,31-24,56.4%,263-231,53.2%,2-3,40.0%,3,44.1%,28.6%,2.0%,4.7%,66.1%,53.6%,40.7%,49.2%,40.1%,45.0%,0.79,W (W25 Brasov)
2021,25,16,9,64.0%,35-20,63.6%,275-209,56.8%,0-2,0.0%,1,45.5%,25.0%,4.8%,4.8%,66.7%,64.3%,19.0%,49.2%,40.2%,44.0%,0.79,W (W15 Antalya)
2020,52,43,9,82.7%,88-29,75.2%,638-424,60.1%,5-4,55.6%,0,,,,,,,,,,,,W (3x)
2019,18,8,10,44.4%,20-21,48.8%,176-191,48.0%,3-1,75.0%,1,38.5%,50.0%,0.0%,13.8%,57.5%,54.3%,35.3%,46.3%,50.5%,48.6%,0.94,SF (W15 Focsani)
2018,72,56,16,77.8%,115-40,74.2%,805-516,60.9%,6-2,75.0%,0,,,,,,,,,,,,W (5x)
2017,34,25,9,73.5%,55-27,67.1%,429-316,57.6%,4-4,50.0%,0,,,,,,,,,,,,W (2x)
2016,39,22,17,56.4%,48-43,52.7%,436-429,50.4%,5-7,41.7%,0,,,,,,,,,,,,F (2x)
2015,14,10,4,71.4%,18-11,62.1%,143-122,54.0%,3-0,100.0%,0,,,,,,,,,,,,SF (2x)
2014,11,6,5,54.5%,13-14,48.1%,116-126,47.9%,0-2,0.0%,0,,,,,,,,,,,,QF (3x)
2013,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,R32 (Bucharest 10K)
Career,300,201,99,67.0%,428-247,63.4%,3355-2686,55.5%,28-26,51.9%,5,43.1%,32.2%,2.0%,6.5%,64.5%,55.5%,36.2%,48.6%,42.8%,45.6%,0.83,
