Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 US Open R128,L vs Wozniacki,38% (3/8),33% (2/6),0/0,0/0,33% (3/9),1/3,0/1,- (0/0),- (0/0)
2023 Rabat R32,L vs Maria,40% (6/15),63% (5/8),1/2,0/0,36% (5/14),1/3,1/2,67% (4/6),50% (3/6)
2023 (2 matches),,39.1%,50.0%,50.0%,-,34.8%,33.3%,33.3%,66.7%,50.0%
Career (2 matches),,39.1%,50.0%,50.0%,-,34.8%,33.3%,33.3%,66.7%,50.0%
