Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,262,128,134,48.9%,290-292,49.8%,2622-2637,49.9%,25-20,55.6%,0,,,,,,,,,,,
Clay,85,46,39,54.1%,97-89,52.2%,835-810,50.8%,7-4,63.6%,0,,,,,,,,,,,
Finals,8,2,6,25.0%,6-12,33.3%,56-92,37.8%,0-0,-,0,,,,,,,,,,,
Semi-finals,19,8,11,42.1%,17-25,40.5%,184-216,46.0%,1-2,33.3%,0,,,,,,,,,,,
Quarter-finals,48,19,29,39.6%,43-59,42.2%,456-487,48.4%,4-5,44.4%,0,,,,,,,,,,,
vs Righties,198,93,105,47.0%,210-226,48.2%,1928-2021,48.8%,22-18,55.0%,0,,,,,,,,,,,
vs Lefties,18,9,9,50.0%,21-21,50.0%,185-184,50.1%,1-0,100.0%,0,,,,,,,,,,,
