Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Wimbledon R128,L vs Paolini,77.5%,54.8%,7.5%,3/3,2.64,2.7%,72.5%,40.5%,5.9%,2.60,3.8%,92.6%,76.0%,11.1%,2.76,0.0%
2025 Rabat R32,W vs Kabbaj,80.5%,50.5%,5.1%,5/1,2.58,2.2%,83.1%,52.7%,2.2%,2.62,3.0%,100.0%,42.9%,19.0%,2.49,0.0%
2021 Madrid R16,L vs Badosa,78.6%,51.1%,8.9%,8/2,2.46,4.4%,81.8%,47.2%,4.5%,2.43,5.6%,84.2%,68.8%,31.6%,2.50,2.7%
2021 Adelaide QF,L vs Teichmann,78.6%,50.0%,7.1%,6/2,2.81,2.2%,76.1%,43.1%,3.0%,2.79,3.2%,90.2%,59.5%,14.6%,2.87,0.0%
2020 US Open R64,L vs Kostyuk,59.0%,27.8%,11.5%,4/3,2.34,3.5%,59.5%,27.3%,2.7%,2.19,5.9%,66.7%,28.6%,28.6%,2.58,0.0%
2020 Dubai R32,L vs Vondrousova,69.8%,31.8%,3.2%,2/0,2.54,24.2%,61.3%,31.6%,3.2%,2.70,38.1%,89.3%,32.0%,3.6%,2.26,0.0%
2019 Beijing R64,L vs Svitolina,81.3%,42.3%,5.2%,0/5,2.32,6.8%,80.7%,34.8%,0.0%,2.39,10.9%,94.1%,53.1%,14.7%,2.21,0.0%
2019 US Open R64,W vs Swiatek,78.7%,54.3%,7.9%,5/2,2.24,8.0%,72.3%,58.8%,2.1%,2.15,7.4%,94.7%,50.0%,15.8%,2.34,8.7%
2019 Jurmala F,W vs Kawa,85.6%,46.8%,6.7%,3/3,2.66,1.5%,86.9%,43.4%,4.9%,2.75,2.7%,92.3%,54.2%,11.5%,2.55,0.0%
2019 Jurmala QF,W vs Bara,85.7%,58.3%,4.3%,1/2,2.77,6.0%,88.0%,59.1%,2.0%,2.79,10.5%,100.0%,56.3%,12.5%,2.75,0.0%
2019 Roland Garros R16,L vs Vondrousova,62.5%,36.0%,2.5%,0/1,2.92,10.5%,66.7%,43.8%,4.2%,2.85,15.4%,75.0%,22.2%,0.0%,3.05,0.0%
2019 Roland Garros R32,W vs Mertens,78.9%,45.7%,3.8%,1/4,2.59,8.9%,81.4%,41.4%,2.3%,2.62,15.7%,85.4%,54.3%,7.3%,2.54,0.0%
2019 Madrid R16,L vs Bertens,72.2%,23.1%,8.3%,3/0,2.70,3.9%,70.4%,15.8%,7.4%,2.76,5.3%,100.0%,42.9%,14.3%,2.50,0.0%
2019 Stuttgart R16,W vs Siegemund,76.2%,57.1%,4.0%,2/2,2.55,9.1%,83.1%,55.6%,0.0%,2.21,20.0%,85.2%,60.9%,14.8%,2.84,0.0%
2019 Miami R32,L vs Putintseva,85.2%,44.9%,2.5%,0/2,2.45,17.0%,86.9%,49.1%,0.0%,2.62,24.1%,88.9%,31.3%,11.1%,2.25,8.3%
2019 Doha R32,L vs Blinkova,76.0%,43.9%,4.0%,3/0,2.70,0.0%,73.8%,38.7%,4.8%,2.71,0.0%,96.3%,50.0%,3.7%,2.68,0.0%
2019 Australian Open R16,L vs Osaka,74.0%,48.1%,7.7%,4/4,2.69,3.2%,69.1%,44.7%,7.4%,2.77,5.0%,85.7%,53.3%,8.6%,2.53,0.0%
2019 Australian Open R64,W vs Andreescu,76.4%,57.4%,3.4%,0/3,2.56,5.3%,72.4%,61.9%,1.7%,2.49,8.3%,89.7%,50.0%,6.9%,2.68,0.0%
2019 Brisbane QF,L vs Osaka,64.4%,46.8%,2.7%,0/2,2.50,9.3%,56.9%,44.8%,2.0%,2.47,18.2%,85.7%,50.0%,4.8%,2.54,0.0%
2018 Zhuhai RR,L vs Muguruza,84.3%,46.9%,6.7%,2/7,2.77,0.0%,80.5%,48.6%,0.0%,2.63,0.0%,95.6%,44.2%,20.0%,2.95,0.0%
Last 52 Weeks (2 matches),,79.3%,52.2%,6.1%,66.7%,2.61,2.4%,79.3%,48.6%,3.6%,2.61,3.4%,95.8%,60.9%,14.6%,2.61,0.0%
Career (61 matches),,76.8%,50.3%,5.3%,51.7%,2.58,8.5%,76.9%,47.6%,2.6%,2.55,11.9%,87.2%,54.9%,11.3%,2.62,3.5%
