Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Wimbledon R128,L vs Paolini,0.0%,-,4.1%,42.9%,12.5%,9.5%,0.0%,5.1%,30.0%,1.5%,50.0%,-87,-71
2025 Rabat R32,W vs Kabbaj,0.0%,-,7.1%,70.6%,9.9%,9.1%,14.3%,9.9%,58.8%,5.5%,40.0%,-32,-19
2021 Madrid R16,L vs Badosa,0.0%,-,6.6%,66.7%,14.9%,22.2%,0.0%,5.2%,35.3%,4.9%,40.9%,-19,-35
2021 Adelaide QF,L vs Teichmann,0.0%,-,7.6%,72.2%,5.6%,6.3%,11.8%,8.4%,39.1%,1.1%,16.7%,-44,-27
2020 US Open R64,L vs Kostyuk,0.0%,-,5.0%,71.4%,6.6%,3.0%,50.0%,11.3%,25.0%,2.6%,0.0%,-87,-59
2020 Dubai R32,L vs Vondrousova,0.0%,-,9.5%,40.0%,13.2%,18.2%,0.0%,4.4%,8.3%,2.6%,33.3%,-23,-30
2019 Beijing R64,L vs Svitolina,0.0%,-,8.2%,60.0%,10.5%,18.9%,0.0%,12.9%,31.0%,5.3%,30.0%,21,-3
2019 US Open R64,W vs Swiatek,0.0%,-,6.6%,72.7%,11.1%,22.2%,0.0%,14.9%,62.5%,0.8%,0.0%,-40,-25
2019 Jurmala F,W vs Kawa,0.0%,-,12.6%,60.9%,10.1%,13.0%,0.0%,4.4%,26.7%,2.5%,11.1%,-36,-20
2019 Jurmala QF,W vs Bara,0.0%,-,15.5%,66.7%,10.3%,17.1%,0.0%,8.2%,22.2%,3.2%,9.1%,-13,-11
2019 Roland Garros R16,L vs Vondrousova,0.0%,-,3.5%,66.7%,11.8%,23.1%,0.0%,3.3%,20.0%,6.5%,20.0%,62,26
2019 Roland Garros R32,W vs Mertens,0.0%,-,6.3%,72.2%,17.6%,27.7%,14.3%,6.7%,19.0%,5.9%,20.5%,-13,-21
2019 Madrid R16,L vs Bertens,0.0%,-,6.2%,83.3%,12.2%,13.0%,0.0%,5.1%,25.0%,2.5%,0.0%,-37,-58
2019 Stuttgart R16,W vs Siegemund,0.0%,-,9.9%,81.3%,18.3%,31.8%,0.0%,4.9%,16.7%,0.9%,50.0%,107,82
2019 Miami R32,L vs Putintseva,0.0%,-,13.6%,66.7%,15.6%,14.3%,0.0%,5.0%,23.8%,3.8%,14.3%,10,18
2019 Doha R32,L vs Blinkova,0.0%,-,4.1%,50.0%,7.0%,6.9%,0.0%,10.3%,43.8%,1.9%,33.3%,-27,-8
2019 Australian Open R16,L vs Osaka,0.0%,-,3.7%,85.7%,14.0%,22.7%,0.0%,6.4%,36.4%,2.3%,57.1%,-53,-52
2019 Australian Open R64,W vs Andreescu,0.0%,-,5.4%,70.0%,12.6%,15.2%,0.0%,13.4%,46.7%,2.3%,25.0%,-37,-42
2019 Brisbane QF,L vs Osaka,1.8%,100.0%,6.0%,75.0%,13.6%,30.0%,0.0%,8.5%,44.4%,2.8%,66.7%,-74,-54
2018 Zhuhai RR,L vs Muguruza,0.0%,-,6.9%,76.5%,13.0%,25.6%,0.0%,8.5%,40.9%,1.4%,14.3%,-27,-39
Last 52 Weeks (2 matches),,0.0%,-,5.8%,62.5%,10.8%,9.2%,12.5%,7.9%,48.1%,4.0%,41.4%,-53,-39
Career (61 matches),,0.2%,55.6%,7.3%,68.7%,12.9%,18.0%,13.3%,7.7%,27.3%,3.5%,34.4%,-8,-13
