Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,357,198,159,55.5%,442-374,54.2%,4021-3748,51.8%,39-52,42.9%,338,76.7%,30.4%,7.8%,4.9%,57.3%,70.2%,48.1%,60.8%,41.4%,51.0%,1.05
Clay,169,91,78,53.8%,210-176,54.4%,1879-1785,51.3%,25-23,52.1%,157,72.1%,28.6%,6.6%,4.5%,58.0%,67.5%,46.8%,58.8%,42.0%,50.4%,1.02
Grass,46,26,20,56.5%,58-47,55.2%,563-498,53.1%,8-8,50.0%,46,81.1%,30.2%,8.7%,5.2%,59.7%,72.3%,46.4%,61.9%,40.0%,51.1%,1.05
Carpet,4,2,2,50.0%,6-4,60.0%,54-44,55.1%,0-1,0.0%,3,-,-,7.1%,4.2%,56.5%,81.1%,45.2%,65.5%,52.1%,58.3%,1.51
Grand Slams,103,54,49,52.4%,124-115,51.9%,1185-1116,51.5%,15-17,46.9%,99,77.8%,28.4%,7.9%,4.9%,57.7%,70.6%,47.4%,60.8%,40.9%,50.8%,1.04
Premiers,156,77,79,49.4%,181-177,50.6%,1717-1692,50.4%,19-23,45.2%,152,74.3%,27.8%,7.0%,5.0%,57.5%,68.3%,46.8%,59.1%,41.1%,50.2%,1.01
Internationals,227,142,85,62.6%,315-204,60.7%,2651-2281,53.8%,27-31,46.6%,217,78.2%,32.2%,7.9%,4.7%,58.4%,70.6%,48.1%,61.2%,42.4%,51.7%,1.09
Finals,17,7,10,41.2%,16-21,43.2%,170-185,47.9%,2-1,66.7%,17,71.7%,23.6%,7.2%,4.6%,61.9%,70.3%,44.7%,60.5%,37.7%,49.4%,0.96
Semi-finals,35,17,18,48.6%,43-42,50.6%,406-407,49.9%,3-4,42.9%,35,77.2%,27.4%,7.2%,3.9%,58.5%,69.4%,46.7%,60.0%,39.6%,49.7%,0.99
Quarter-finals,51,32,19,62.7%,66-49,57.4%,578-523,52.5%,2-13,13.3%,49,79.5%,29.3%,7.9%,4.6%,58.6%,70.9%,48.3%,61.6%,41.8%,51.5%,1.09
vs Righties,523,295,228,56.4%,662-538,55.2%,5964-5518,51.9%,69-71,49.3%,495,76.0%,30.5%,7.6%,4.7%,57.8%,69.6%,47.7%,60.4%,41.6%,51.0%,1.05
vs Lefties,50,20,30,40.0%,49-61,44.5%,520-533,49.4%,3-13,18.8%,46,74.2%,22.5%,6.6%,5.8%,57.6%,70.3%,45.6%,59.8%,39.7%,49.7%,0.99
vs Top 10,57,17,40,29.8%,38-85,30.9%,515-678,43.2%,6-12,33.3%,54,72.3%,19.8%,7.0%,4.4%,59.4%,64.4%,45.4%,56.7%,37.8%,47.2%,0.87
