Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2020 Roland Garros R64,L vs Siegemund,3.0,3.4,2.6,53.3%,40.5%,66.7%,0.0%,57.7%,12.7%,-5.5,-6.0,0.5,0.8
2020 Roland Garros R128,W vs Riske Amritraj,3.4,3.3,3.5,54.4%,54.4%,57.9%,60.0%,55.2%,19.5%,9.5,6.5,-0.5,-0.5
2019 Luxembourg F,L vs Ostapenko,2.4,2.4,2.4,43.2%,31.3%,33.3%,0.0%,53.5%,27.3%,2.5,7.1,-5.5,-23.9
2019 Luxembourg SF,W vs Rybakina,3.0,3.2,2.7,57.5%,45.8%,63.6%,25.0%,54.8%,9.8%,9.0,13.6,-1.0,-1.8
2019 US Open R16,L vs Vekic,2.8,2.7,2.8,46.2%,54.5%,61.1%,100.0%,53.4%,12.8%,21.5,18.7,1.0,1.1
2019 US Open R32,W vs Bertens,2.9,3.4,2.4,63.7%,38.9%,85.7%,40.0%,53.5%,3.4%,8.5,13.3,3.0,5.4
2019 US Open R64,W vs Di Lorenzo,3.3,3.2,3.3,60.3%,54.3%,50.0%,75.0%,56.2%,5.6%,11.5,13.5,0.5,0.8
2019 Wimbledon R32,L vs Williams,2.4,2.6,2.2,44.6%,40.0%,100.0%,50.0%,45.2%,21.6%,5.0,15.6,-8.0,-21.1
2019 Wimbledon R128,W vs Ruse,2.8,3.1,2.5,58.0%,65.4%,40.0%,100.0%,45.5%,13.9%,2.5,4.6,5.0,8.5
2019 Birmingham F,L vs Barty,2.9,3.1,2.6,43.4%,50.0%,61.5%,0.0%,45.1%,20.3%,12.5,20.8,-0.5,-0.8
2019 Doha QF,L vs Halep,3.5,3.8,3.3,43.2%,52.7%,61.5%,18.2%,46.6%,7.0%,7.0,6.2,0.0,0.0
2019 St Petersburg R16,L vs Zvonareva,3.8,3.9,3.7,45.8%,50.0%,50.0%,33.3%,54.3%,6.9%,-4.0,-3.4,-5.5,-5.9
2019 Auckland F,W vs Andreescu,3.1,3.2,3.0,50.0%,56.3%,50.0%,66.7%,53.4%,11.1%,14.0,16.5,4.0,5.6
2019 Auckland QF,W vs Bouchard,3.5,3.6,3.4,43.6%,61.0%,62.5%,75.0%,57.0%,0.0%,7.0,4.8,1.0,0.9
2018 Zhuhai SF,L vs Barty,3.1,3.0,3.1,45.4%,48.4%,35.0%,50.0%,56.7%,17.9%,-7.5,-7.6,0.5,0.8
2018 Luxembourg F,W vs Bencic,2.9,3.0,2.9,55.8%,56.0%,46.2%,0.0%,63.1%,14.6%,19.0,29.2,2.0,4.9
2018 New Haven SF,L vs Sabalenka,3.0,3.1,2.8,48.5%,40.0%,33.3%,66.7%,53.5%,24.7%,10.0,13.5,-3.0,-5.6
2018 New Haven R16,W vs Yastremska,2.7,2.5,2.8,50.7%,43.9%,42.9%,66.7%,52.4%,13.3%,8.0,9.4,-2.0,-2.6
2018 Wimbledon SF,L vs Williams,3.0,3.2,2.8,40.8%,31.6%,66.7%,25.0%,59.3%,15.2%,6.5,10.8,-4.0,-10.8
2018 Wimbledon QF,W vs Bertens,3.2,3.3,3.2,51.3%,56.4%,76.9%,100.0%,47.3%,18.4%,12.0,12.0,17.5,17.5
Career (50 matches),,3.3,3.3,3.2,50.1%,51.8%,51.2%,50.2%,53.7%,11.1%,9.0,9.7,0.8,1.1
