Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2020,,,60,1770,36,1783,49,1707,,,,,,
2019,28,1610,22,1923,22,1872,28,1797,14,1806,126,612,,
2018,14,3055,19,1969,19,1923,19,1841,16,1802,289,236,,
2017,14,2655,12,1971,10,1928,21,1824,30,1717,85,826,,
2016,53,1110,51,1807,45,1758,38,1737,89,1577,16,4110,,
2015,50,1040,72,1756,66,1711,65,1682,96,1574,24,2575,,
2014,74,710,90,1728,94,1673,61,1683,81,1588,40,1855,,
2013,72,836,83,1717,78,1670,61,1689,67,1604,27,2715,,
2012,18,1965,25,1888,24,1834,27,1796,30,1722,21,2810,,
2011,21,2325,34,1872,39,1780,23,1846,44,1670,40,2065,,
2010,40,1525,65,1779,74,1699,40,1781,83,1595,36,2330,,
2009,77,818,63,1790,67,1715,63,1716,74,1608,,,,
2008,108,323,104,1682,112,1618,120,1582,96,1550,,,,
2007,126,279,92,1693,75,1673,172,1496,,,,,,
2006,430,41,,,,,,,,,,,,
2005,1129,4,,,,,,,,,,,,
