Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Curitiba CH R32,L vs Sell,4.5,3.6,5.5,42.6%,28.6%,30.0%,40.0%,58.9%,12.5%,1.0,1.1,-6.0,-9.5
2024 Estoril R32,L vs Monfils,4.4,4.6,4.2,47.2%,37.1%,52.2%,70.0%,65.4%,13.0%,7.0,4.2,-3.5,-4.5
Career (2 matches),,4.5,4.2,4.7,45.4%,33.9%,45.5%,55.0%,62.8%,12.8%,4.0,3.0,-4.8,-6.8
