Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,25,10,15,40.0%,29-36,44.6%,305-335,47.7%,7-6,53.8%,25,75.9%,18.7%,10.7%,4.3%,59.9%,73.3%,47.9%,63.1%,34.3%,48.9%,0.93
Clay,34,27,7,79.4%,57-23,71.3%,421-335,55.7%,10-1,90.9%,34,82.4%,27.5%,6.8%,3.7%,57.7%,74.2%,52.9%,65.2%,40.1%,52.4%,1.15
Grass,6,2,4,33.3%,9-11,45.0%,103-101,50.5%,1-3,25.0%,6,84.2%,17.2%,6.6%,2.8%,64.7%,71.4%,55.2%,65.7%,35.8%,50.2%,1.04
Grand Slams,11,7,4,63.6%,23-17,57.5%,191-186,50.7%,5-2,71.4%,11,79.0%,21.2%,9.6%,4.6%,58.9%,72.9%,50.0%,63.5%,37.2%,50.0%,1.02
Masters,12,4,8,33.3%,10-14,41.7%,120-129,48.2%,2-3,40.0%,12,80.2%,15.1%,8.2%,3.6%,60.3%,74.0%,50.6%,64.7%,31.8%,48.4%,0.90
Other Tours,42,28,14,66.7%,62-39,61.4%,518-456,53.2%,11-5,68.8%,42,80.4%,25.3%,7.9%,3.7%,59.5%,73.5%,51.7%,64.7%,38.8%,51.7%,1.10
Best of 5,11,7,4,63.6%,23-17,57.5%,191-186,50.7%,5-2,71.4%,11,79.0%,21.2%,9.6%,4.6%,58.9%,72.9%,50.0%,63.5%,37.2%,50.0%,1.02
Best of 3,54,32,22,59.3%,72-53,57.6%,638-585,52.2%,13-8,61.9%,54,80.4%,23.2%,7.9%,3.6%,59.6%,73.6%,51.5%,64.7%,37.4%,51.0%,1.06
Finals,5,4,1,80.0%,8-3,72.7%,61-54,53.0%,3-0,100.0%,5,83.9%,19.6%,7.6%,3.7%,62.1%,77.8%,55.6%,69.4%,34.9%,51.4%,1.14
Semi-finals,5,5,0,100.0%,10-1,90.9%,66-42,61.1%,3-0,100.0%,5,84.9%,34.6%,5.6%,2.0%,54.4%,77.4%,55.1%,67.3%,43.3%,55.4%,1.32
Quarter-finals,8,5,3,62.5%,12-8,60.0%,98-78,55.7%,0-0,-,8,79.5%,31.8%,8.6%,3.5%,57.1%,74.4%,48.7%,63.4%,42.3%,52.5%,1.15
vs Righties,57,35,22,61.4%,86-60,58.9%,746-681,52.3%,17-10,63.0%,57,80.5%,23.2%,8.5%,3.9%,59.2%,73.6%,51.6%,64.6%,37.4%,51.0%,1.06
vs Lefties,8,4,4,50.0%,9-10,47.4%,83-90,48.0%,1-0,100.0%,8,76.7%,18.6%,6.7%,3.7%,62.2%,72.4%,46.9%,62.8%,36.5%,49.0%,0.98
vs Top 10,4,0,4,0.0%,0-10,0.0%,32-63,33.7%,0-2,0.0%,4,61.7%,6.5%,6.6%,5.3%,56.6%,69.2%,35.6%,54.6%,30.5%,42.5%,0.67
