Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Santiago F,W vs Hanfmann,25% (3/12),100% (3/3),1/2,17% (2/12),0% (0/2),2/2,0/0,2/2,0/0,0/0
2026 Buenos Aires F,L vs Cerundolo,44% (4/9),25% (1/4),1/4,67% (6/9),33% (2/6),0/1,0/0,1/1,0/0,0/0
2026 Australian Open R16,L vs Sinner,14% (2/14),0% (0/2),0/3,43% (6/14),33% (2/6),0/0,0/0,3/4,0/0,2/2
2025 Paris R64,L vs Cazaux,17% (2/12),100% (2/2),1/2,33% (4/12),50% (2/4),1/2,0/1,2/2,0/0,0/0
2025 US Open R32,L vs Alcaraz,17% (2/12),50% (1/2),0/4,67% (8/12),13% (1/8),1/1,0/0,0/3,0/0,0/1
2025 Umag F,W vs Taberner,33% (3/9),100% (3/3),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2025 Bastad F,W vs De Jong,36% (5/14),60% (3/5),0/2,14% (2/14),0% (0/2),3/3,2/2,0/0,1/1,0/0
2025 Marrakech F,W vs Griekspoor,8% (1/12),100% (1/1),0/1,25% (3/12),67% (2/3),0/1,0/1,1/1,0/0,0/0
2024 Paris R64,L vs Griekspoor,0% (0/10),- (0/0),0/2,22% (2/9),0% (0/2),0/0,0/0,2/2,0/0,1/1
2024 Vienna R32,W vs Thiem,30% (3/10),100% (3/3),0/1,10% (1/10),0% (0/1),3/3,1/1,0/0,1/1,0/0
2024 US Open R128,L vs Baez,40% (8/20),38% (3/8),0/5,45% (9/20),22% (2/9),2/3,0/1,2/3,0/0,1/1
2024 Canada R64,L vs Paul,18% (2/11),0% (0/2),0/1,27% (3/11),67% (2/3),0/0,0/0,1/1,0/0,0/0
2024 Umag R16,L vs Mensik,30% (3/10),67% (2/3),1/3,56% (5/9),20% (1/5),1/2,0/0,1/2,0/0,1/1
2024 Wimbledon R64,L vs Musetti,15% (4/26),75% (3/4),0/4,42% (11/26),55% (6/11),1/3,1/1,4/5,0/0,1/1
2024 Wimbledon R128,W vs Choinski,44% (11/25),55% (6/11),1/5,28% (7/25),29% (2/7),1/3,0/0,1/1,0/0,0/0
2024 Lyon SF,L vs Etcheverry,11% (1/9),0% (0/1),0/3,44% (4/9),25% (1/4),0/0,0/0,1/1,0/0,0/0
2024 Madrid R64,L vs Fritz,9% (1/11),100% (1/1),1/2,27% (3/11),33% (1/3),0/1,0/0,3/3,0/0,1/1
2024 Houston SF,L vs Tiafoe,10% (1/10),0% (0/1),0/2,50% (5/10),60% (3/5),0/0,0/0,0/0,0/0,0/0
2024 Santiago R32,W vs Bagnis,17% (3/18),33% (1/3),0/1,11% (2/18),50% (1/2),1/1,0/0,4/4,0/0,2/2
2024 Cordoba F,W vs Bagnis,50% (4/8),100% (4/4),0/1,11% (1/9),0% (0/1),4/4,2/2,0/0,1/1,0/0
2026 (3 matches),,25.7%,44.4%,22.2%,40.0%,28.6%,66.7%,-,85.7%,-,100.0%
2025 (5 matches),,22.0%,76.9%,11.1%,28.8%,29.4%,77.8%,60.0%,50.0%,100.0%,0.0%
2024 (13 matches),,25.6%,60.9%,15.2%,31.7%,35.1%,68.0%,85.7%,87.0%,100.0%,100.0%
2023 (1 matches),,42.9%,83.3%,0.0%,13.3%,0.0%,80.0%,66.7%,100.0%,50.0%,-
2022 (1 matches),,35.7%,60.0%,0.0%,25.0%,33.3%,100.0%,-,-,-,-
Career (23 matches),,26.2%,63.3%,14.8%,30.9%,32.3%,72.7%,73.3%,81.1%,83.3%,90.0%
