Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,43,11,32,25.6%,39-81,32.5%,539-668,44.7%,13-11,54.2%,43,76.4%,12.2%,9.4%,4.9%,60.7%,71.2%,50.0%,62.9%,31.3%,47.5%,0.84
Clay,4,0,4,0.0%,2-10,16.7%,46-72,39.0%,1-1,50.0%,4,60.3%,17.2%,4.5%,4.5%,60.1%,61.7%,44.7%,55.0%,33.4%,45.0%,0.74
Grass,9,2,7,22.2%,7-18,28.0%,112-140,44.4%,3-4,42.9%,9,81.0%,8.7%,8.6%,6.4%,63.2%,69.7%,49.3%,62.2%,28.7%,46.5%,0.76
Grand Slams,18,4,14,22.2%,23-46,33.3%,308-384,44.5%,8-4,66.7%,18,73.0%,14.3%,8.1%,4.4%,62.9%,68.7%,49.1%,61.4%,31.8%,47.2%,0.82
Masters,12,3,9,25.0%,7-19,26.9%,112-143,43.9%,2-1,66.7%,12,78.0%,8.8%,11.2%,5.5%,59.0%,72.6%,50.0%,63.4%,30.0%,47.2%,0.82
Other Tours,26,6,20,23.1%,18-44,29.0%,277-353,44.0%,7-11,38.9%,26,78.2%,10.7%,8.9%,5.8%,59.9%,70.9%,49.7%,62.4%,30.8%,47.1%,0.82
Best of 5,18,4,14,22.2%,23-46,33.3%,308-384,44.5%,8-4,66.7%,18,73.0%,14.3%,8.1%,4.4%,62.9%,68.7%,49.1%,61.4%,31.8%,47.2%,0.82
Best of 3,38,9,29,23.7%,25-63,28.4%,389-496,44.0%,9-12,42.9%,38,78.1%,10.1%,9.5%,5.7%,59.7%,71.4%,49.8%,62.7%,30.5%,47.1%,0.82
vs Righties,47,9,38,19.1%,33-94,26.0%,543-722,42.9%,13-13,50.0%,47,76.0%,9.4%,9.1%,5.6%,60.0%,70.7%,49.1%,62.1%,29.3%,46.4%,0.77
vs Lefties,9,4,5,44.4%,15-15,50.0%,154-158,49.4%,4-3,57.1%,9,75.3%,22.5%,7.9%,3.2%,65.4%,68.0%,51.2%,62.2%,37.9%,50.1%,1.00
vs Top 10,3,0,3,0.0%,2-7,22.2%,43-55,43.9%,1-2,33.3%,3,79.2%,8.5%,11.6%,5.6%,53.3%,76.4%,52.5%,65.2%,26.2%,46.9%,0.75
