Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1977,,,54,1669,38,1608,,,35,1653,,,,
1975,,,64,1672,41,1607,,,39,1649,,,,
1974,,,24,1826,22,1676,18,1789,21,1745,,,,
1973,,,19,1851,18,1698,19,1785,16,1787,,,,
1972,,,13,1902,17,1724,18,1799,12,1818,,,,
1971,,,35,1745,27,1624,34,1710,,,,,,
1970,,,15,1905,16,1717,15,1866,14,1817,,,,
1969,,,15,1888,13,1714,16,1819,15,1818,,,,
1968,,,18,1853,20,1664,23,1757,16,1782,,,,
1967,,,26,1769,28,1551,37,1614,17,1721,,,,
1966,,,16,1836,,,44,1627,14,1781,,,,
