Date,Tournament,Surface,Rd,,Score
10-Aug-1970,Hamburg,Clay,F,Krantzcke / Kerry Reid [AUS] d. Winnie Shaw / Virginia Wade [GBR],6-0 6-1
27-Jul-1970,Hilversum,Clay,F,Krantzcke / Kerry Reid [AUS] d. Margaret Court [AUS] / Helga Masthoff [FRG],3-6 9-7 7-5
13-Jul-1970,West Kirby,Grass,F,Krantzcke / Kerry Reid [AUS] d. Judy Tegart [AUS] / Julie Heldman [USA],6-2 12-10
06-Jul-1970,Dublin,Grass,F,Krantzcke / Kerry Reid [AUS] d. Julie Heldman [USA] / Virginia Wade [GBR],7-5 6-2
15-Jun-1970,Queen's Club,Grass,F,Rosie Casals / Billie Jean King [USA] d. Krantzcke / Kerry Reid [AUS],6-4 6-3
08-Jun-1970,Bristol,Grass,F,Margaret Court / Judy Tegart [AUS] d. Krantzcke / Kerry Reid [AUS],6-2 6-3
11-May-1970,Berlin,Clay,F,(2) Judy Tegart [AUS] / Virginia Wade [GBR] d. (4) Krantzcke / Helga Schultze [GER],4-6 7-5 6-0
04-May-1970,Guildford,Clay,F,Margaret Court / Judy Tegart [AUS] d. Krantzcke / Patricia Walkden [RSA],6-0 7-9 6-4
22-Mar-1970,Johannesburg,Hard,F,(3) Rosie Casals / Billie Jean King [USA] d. (4) Krantzcke / Kerry Reid [AUS],6-2 6-2
09-Feb-1970,Newcastle,Clay,F,Krantzcke / Patricia Coleman [AUS] d. Patricia Edwards / Evonne Goolagong [AUS],6-3 3-6 7-5
28-Jan-1970,Auckland,Grass,F,Margaret Court [AUS] / Ann Jones [GBR] d. Krantzcke / Kerry Reid [AUS],6-0 6-4
19-Jan-1970,Australian Open,Grass,F,(1) Margaret Court / Judy Tegart [AUS] d. (2) Krantzcke / Kerry Reid [AUS],6-3 6-4
12-Jan-1970,Melbourne,Grass,F,Margaret Court / Judy Tegart [AUS] d. Krantzcke / Kerry Reid [AUS],6-3 6-4
29-Dec-1969,Perth,Grass,F,Krantzcke / Kerry Reid [AUS] d. Margaret Court [AUS] / Winnie Shaw [GBR],6-2 3-6 6-3
03-Dec-1969,Brisbane,Grass,F,Krantzcke / Christina Sandberg [SWE] d. Kerry Harris [AUS] / Winnie Shaw [GBR],7-5 6-4
17-Nov-1969,Rockdale,Clay,F,Krantzcke / Kerry Reid [AUS] d. Jan Lehane [AUS] / Winnie Shaw [GBR],4-6 6-2 6-3
02-Oct-1969,Fairfield,Clay,F,Krantzcke / Margaret Starr [AUS] d. Jan Lehane / Carol Sherriff [AUS],6-3 9-7
28-Jul-1969,Hilversum,Clay,F,Krantzcke / Kerry Reid [AUS] d. Helen Gourlay [AUS] / Patricia Walkden [RSA],1-6 6-4 6-3
21-Jul-1969,Munich,Clay,F,Krantzcke / Kerry Reid [AUS] d. Helga Masthoff [FRG] / Almut Sturm [GER],6-4 6-1
19-Jan-1968,Australian Championships,Grass,F,(1) Krantzcke / Kerry Reid [AUS] d. (3) Judy Tegart / Lesley Turner [AUS],6-4 3-6 6-2
