Date,Tournament,Surface,Rd,,Score
29-Dec-1969,Perth,Grass,F,Krantzcke / Ken Stuart [USA] d. Kerry Reid [AUS] / Bernard Paul [FRA],6-2 4-6 7-5
11-Dec-1967,Adelaide,Grass,F,Krantzcke / Ray Ruffels [AUS] d. Rosie Casals [USA] / Warren Jacques [AUS],8-10 9-7 7-5
28-Nov-1967,Victoria,Grass,F,Krantzcke / Ray Ruffels [AUS] d. Rosie Casals [USA] / Torben Ulrich [DEN],6-1 3-6 8-6
16-May-1966,Prague,Clay,F,Kerry Reid / Owen Davidson [AUS] d. Krantzcke / Ray Ruffels [AUS],6-3 6-4
25-Apr-1966,Reggio Calabria,Clay,F,Helga Masthoff [FRG] / Tony Roche [AUS] d. Krantzcke / Owen Davidson [AUS],7-5 6-4
12-Mar-1966,Warrnambool,,F,Pat Turner / Ronald Mckenzie [AUS] d. Krantzcke / Will Coghlan [AUS],6-Aug
22-Feb-1966,Brisbane Hard,Clay,F,Robyn Ebbern / Owen Davidson [AUS] d. Krantzcke / John Cooper [AUS],6-4 6-4
