Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,66,37,29,56.1%,78-57,57.8%,659-567,53.8%,8-9,47.1%,0,,,,,,,,,,,
Clay,165,104,61,63.0%,222-140,61.3%,1823-1498,54.9%,9-3,75.0%,0,,,,,,,,,,,
Grass,336,229,107,68.2%,485-236,67.3%,3895-2924,57.1%,4-2,66.7%,0,,,,,,,,,,,
Carpet,51,17,34,33.3%,41-67,38.0%,438-522,45.6%,4-6,40.0%,0,,,,,,,,,,,
Grand Slams,82,51,31,62.2%,113-72,61.1%,979-813,54.6%,0-2,0.0%,0,,,,,,,,,,,
Finals,29,13,16,44.8%,33-34,49.3%,321-327,49.5%,1-0,100.0%,0,,,,,,,,,,,
Semi-finals,66,31,35,47.0%,65-76,46.1%,663-703,48.5%,3-1,75.0%,0,,,,,,,,,,,
Quarter-finals,123,60,63,48.8%,139-134,50.9%,1335-1318,50.3%,7-4,63.6%,0,,,,,,,,,,,
vs Righties,331,153,178,46.2%,347-378,47.9%,3405-3520,49.2%,15-12,55.6%,0,,,,,,,,,,,
vs Lefties,38,20,18,52.6%,41-31,56.9%,370-330,52.9%,7-4,63.6%,0,,,,,,,,,,,
