Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Santiago R32,L vs Darderi,27.8%,41.7%,61.3%,34.1%,33.8%,50.0%,63.3%,43.5%,23.3%,36.4%,33.3%,18.4%,28.9%,58.1%,32
2024 Cordoba F,L vs Darderi,18.3%,25.0%,37.5%,24.8%,13.5%,21.6%,43.8%,24.1%,10.0%,58.8%,50.0%,27.3%,31.8%,25.0%,-13
2024 Cordoba SF,W vs Coria,22.2%,34.6%,54.8%,30.7%,25.5%,41.8%,68.3%,38.0%,36.7%,64.0%,75.0%,16.0%,20.0%,28.6%,-21
2021 US Open R32,L vs Van De Zandschulp,22.0%,33.9%,42.4%,30.6%,27.8%,44.3%,47.4%,40.6%,11.4%,45.5%,54.5%,12.5%,15.6%,32.1%,-5
2021 Santiago F,L vs Garin,22.6%,36.8%,55.3%,28.6%,37.3%,52.5%,51.4%,48.0%,25.0%,48.4%,0.0%,4.9%,19.5%,59.0%,-71
2017 Indian Wells R64,L vs Zverev,32.9%,43.8%,54.3%,37.7%,48.7%,66.7%,70.0%,57.7%,31.3%,26.1%,50.0%,16.1%,19.4%,42.3%,44
2016 Medellin CH F,W vs Zampieri,32.9%,48.2%,66.7%,38.2%,38.5%,61.5%,66.7%,50.0%,16.0%,42.9%,-,32.5%,42.5%,66.7%,118
2016 Braunschweig CH R16,L vs Zverev,15.0%,34.6%,59.8%,23.6%,17.5%,42.9%,65.4%,32.1%,70.4%,44.4%,66.7%,12.5%,25.0%,51.4%,7
2016 Marrakech R32,W vs Ouahab,25.5%,47.3%,72.2%,35.3%,32.0%,56.0%,70.6%,53.6%,27.3%,42.9%,-,24.0%,48.0%,73.7%,102
2015 Campinas CH SF,L vs Schwartzman,19.5%,31.7%,45.2%,27.8%,27.3%,45.5%,57.5%,39.6%,33.3%,46.4%,0.0%,4.3%,4.3%,22.7%,-76
2014 Caltanissetta CH R16,W vs Cecchinato,23.2%,30.5%,52.7%,30.6%,21.3%,31.9%,59.5%,34.3%,4.3%,66.7%,50.0%,33.3%,37.0%,38.9%,25
Career (11 matches),,23.7%,37.0%,54.2%,30.9%,29.0%,46.3%,59.1%,41.2%,26.5%,46.7%,48.6%,18.0%,26.7%,47.2%,59
