Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Santiago R32,L vs Darderi,43,55,0.8,17.9%,22.9%,32,52,0.6,15.1%,24.5%,11.3%,3.3%,1.1,15.8%,14.2%
2024 Cordoba F,L vs Darderi,11,30,0.4,10.0%,27.3%,9,29,0.3,9.1%,29.3%,3.0%,6.1%,0.9,16.4%,18.2%
2024 Cordoba SF,W vs Coria,30,41,0.7,20.4%,27.9%,25,40,0.6,17.9%,28.6%,12.9%,4.3%,0.5,6.8%,13.6%
2022 US Open R128,L vs Korda,24,53,0.5,9.0%,19.8%,20,48,0.4,8.2%,19.8%,5.8%,0.8%,0.9,16.0%,17.2%
2022 Wimbledon R128,L vs Novak,37,48,0.8,13.8%,17.9%,29,42,0.7,12.2%,17.7%,6.3%,4.6%,1.2,20.1%,17.2%
2021 US Open R32,L vs Van De Zandschulp,28,41,0.7,12.6%,18.4%,23,34,0.7,11.8%,17.4%,8.2%,2.6%,1.6,18.4%,11.7%
2021 US Open R64,W vs Trungelliti,30,24,1.3,12.2%,9.8%,22,20,1.1,10.0%,9.1%,7.3%,2.3%,0.9,13.0%,14.2%
2021 US Open R128,W vs Daniel,22,17,1.3,15.3%,11.8%,15,16,0.9,11.7%,12.5%,7.8%,3.1%,0.7,11.1%,15.3%
2021 Wimbledon R128,L vs Kecmanovic,55,38,1.4,22.1%,15.3%,41,31,1.3,18.9%,14.3%,13.8%,5.1%,1.9,15.7%,8.4%
2021 Roland Garros R64,L vs Struff,34,31,1.1,15.9%,14.5%,34,31,1.1,18.5%,16.8%,,,1.4,13.1%,9.3%
2021 Roland Garros R128,W vs Bonzi,32,22,1.5,15.2%,10.5%,32,22,1.5,16.8%,11.5%,,,0.5,11.0%,20.5%
2021 Santiago F,L vs Garin,34,38,0.9,16.1%,18.0%,26,32,0.8,14.4%,17.7%,8.3%,5.0%,1.0,16.1%,16.1%
2018 US Open R128,L vs Monfils,26,43,0.6,12.6%,20.9%,20,39,0.5,11.2%,21.9%,7.3%,2.8%,0.9,15.5%,17.5%
2017 Wimbledon R128,L vs Albot,48,38,1.3,14.2%,11.2%,37,32,1.2,11.8%,10.2%,7.0%,4.1%,1.5,13.3%,8.9%
2017 Indian Wells Masters R64,L vs Zverev,13,30,0.4,8.9%,20.5%,9,27,0.3,7.0%,20.9%,3.1%,3.9%,0.7,15.8%,23.3%
2017 Australian Open R128,L vs Evans,29,54,0.5,15.9%,29.7%,18,50,0.4,12.0%,33.3%,9.3%,0.7%,1.2,21.4%,18.1%
2016 Medellin CH F,W vs Zampieri,31,29,1.1,16.6%,15.5%,28,23,1.2,16.7%,13.7%,11.9%,3.0%,0.7,15.5%,23.0%
2016 Braunschweig CH R16,L vs Zverev,27,40,0.7,13.7%,20.3%,27,36,0.8,14.5%,19.4%,9.7%,4.8%,0.8,11.2%,14.2%
2016 Wimbledon R128,L vs Becker,21,26,0.8,13.3%,16.5%,21,23,0.9,14.7%,16.1%,11.9%,2.8%,2.3,21.5%,9.5%
2016 Roland Garros R64,L vs Nadal,17,39,0.4,11.4%,26.2%,15,36,0.4,10.6%,25.4%,9.2%,0.7%,1.4,16.8%,12.1%
Career (26 matches),,768,986,0.8,14.6%,18.7%,632,889,0.7,13.4%,18.9%,8.1%,3.2%,1.0,15.3%,15.1%
