Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Hard,1,0,1,0.0%,0,0,0,-,2014,2014,Q1,1,0.79,5.1%,6.3%,53.2%,50.0%,56.8%,53.2%,36.9%,54.5%,60.0%
Roland Garros,1,Clay,3,2,1,66.7%,1,1,0,100.0%,2014,2014,R128,3,0.87,2.0%,2.8%,57.5%,65.5%,39.0%,54.3%,39.7%,50.0%,44.0%
US Open,2,Hard,4,2,2,50.0%,0,0,0,-,2014,2016,Q3,3,1.05,2.0%,4.8%,47.8%,66.4%,43.8%,54.6%,47.7%,54.8%,51.5%
Fed Cup,9,,25,12,13,48.0%,5,2,3,40.0%,2009,2018,,6,0.85,1.6%,2.3%,56.8%,61.3%,43.2%,53.5%,39.6%,43.8%,28.0%
Tianjin,2,Hard,3,1,2,33.3%,1,1,0,100.0%,2016,2019,Q2,3,0.75,3.4%,6.7%,54.7%,60.2%,42.0%,52.0%,36.2%,50.0%,20.0%
Istanbul,4,Clay,7,3,4,42.9%,0,0,0,-,2007,2017,Q3,2,0.87,0.0%,4.5%,63.2%,49.0%,43.9%,47.1%,45.9%,50.0%,44.4%
Bogota,3,Clay,8,4,4,50.0%,1,0,1,0.0%,2014,2017,R16,6,0.95,5.3%,4.7%,52.1%,68.4%,41.6%,55.6%,42.2%,63.3%,40.7%
Tashkent,4,Hard,10,5,5,50.0%,2,1,1,50.0%,2008,2016,R16,8,1.01,4.3%,4.9%,57.3%,63.4%,47.0%,56.4%,44.1%,45.1%,49.2%
Guangzhou,2,Hard,5,3,2,60.0%,2,1,1,50.0%,2014,2016,R16,5,1.05,4.1%,5.1%,55.5%,64.7%,43.4%,55.2%,46.8%,53.7%,43.1%
Bad Gastein,2,Clay,5,3,2,60.0%,1,1,0,100.0%,2011,2014,R32,5,1.00,3.4%,2.9%,58.9%,64.3%,38.5%,53.7%,46.1%,56.1%,39.6%
