Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2017 Moscow R32,W vs Safiullin,28.9%,51.1%,71.9%,41.6%,25.8%,54.8%,65.2%,44.2%,64.3%,47.1%,-,35.7%,42.9%,88.9%,-79
2015 Kaohsiung CH R32,W vs Devvarman,16.1%,32.1%,62.2%,28.6%,21.4%,40.5%,69.7%,38.1%,23.5%,40.0%,0.0%,0.0%,8.3%,41.7%,-118
2015 Ilkey CH R32,W vs Norrie,52.9%,67.6%,66.7%,58.8%,53.8%,69.2%,66.7%,61.5%,45.5%,33.3%,-,57.1%,71.4%,66.7%,110
Career (3 matches),,29.6%,47.4%,66.3%,40.5%,31.3%,52.5%,67.6%,46.2%,42.9%,40.4%,0.0%,27.3%,36.4%,62.5%,47
