Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,356,207,149,58.1%,454-358,55.9%,3899-3568,52.2%,46-31,59.7%,254,44.4%,12.5%,1.8%,4.8%,64.6%,61.8%,44.5%,55.7%,46.5%,51.0%,1.05
Clay,121,71,50,58.7%,150-120,55.6%,1258-1139,52.5%,9-8,52.9%,84,50.0%,41.7%,1.7%,4.2%,65.1%,59.3%,43.5%,53.8%,45.8%,49.8%,0.99
Grass,31,13,18,41.9%,31-39,44.3%,305-340,47.3%,1-3,25.0%,28,-,-,2.7%,3.6%,67.4%,61.4%,47.2%,56.8%,42.0%,49.2%,0.97
Carpet,9,5,4,55.6%,11-8,57.9%,87-79,52.4%,0-1,0.0%,7,-,-,1.7%,4.6%,65.8%,59.0%,52.8%,56.9%,41.2%,49.1%,0.96
Grand Slams,85,49,36,57.6%,109-85,56.2%,914-840,52.1%,6-10,37.5%,71,-,-,1.8%,4.4%,65.0%,61.0%,46.1%,55.8%,44.9%,50.3%,1.02
Premiers,157,82,75,52.2%,183-174,51.3%,1653-1626,50.4%,18-15,54.5%,139,-,-,1.9%,4.7%,64.9%,61.0%,44.6%,55.2%,45.5%,50.3%,1.02
Internationals,188,115,73,61.2%,245-177,58.1%,2061-1793,53.5%,21-13,61.8%,123,47.6%,30.0%,1.9%,4.4%,64.7%,61.5%,44.8%,55.6%,47.2%,51.4%,1.06
Finals,9,5,4,55.6%,10-10,50.0%,89-91,49.4%,1-0,100.0%,5,-,-,3.3%,4.0%,61.3%,61.4%,41.4%,53.7%,38.4%,46.2%,0.83
Semi-finals,23,9,14,39.1%,21-27,43.8%,226-234,49.1%,3-4,42.9%,18,-,-,1.9%,3.0%,65.9%,61.7%,40.7%,54.6%,41.4%,48.3%,0.91
Quarter-finals,49,23,26,46.9%,50-61,45.0%,491-515,48.8%,4-5,44.4%,35,-,-,1.8%,3.9%,66.5%,60.2%,43.1%,54.5%,44.8%,49.6%,0.98
vs Righties,478,274,204,57.3%,595-486,55.0%,5109-4733,51.9%,52-39,57.1%,344,47.6%,30.0%,1.8%,4.6%,64.9%,60.9%,44.5%,55.2%,45.9%,50.5%,1.02
vs Lefties,39,22,17,56.4%,51-39,56.7%,440-393,52.8%,4-4,50.0%,29,-,-,1.9%,4.3%,65.1%,63.4%,46.1%,57.4%,45.8%,51.6%,1.07
vs Top 10,59,11,48,18.6%,30-101,22.9%,471-722,39.5%,2-9,18.2%,50,-,-,1.3%,4.2%,65.9%,54.5%,41.8%,50.1%,41.1%,45.7%,0.82
