Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2014 US Open R64,L vs Lucic,82.7,87.5,6.0,,,98,73,71.8,4.2,,,80,63
2014 US Open R128,W vs Konta,82.5,85.7,5.8,,,99,75,71.1,4.6,,,82,64
2014 Wimbledon R128,L vs Wozniacki,84.0,90.1,6.8,,,99,73,75.1,5.6,,,94,67
2013 Roland Garros R128,L vs Radwanska,84.1,,,,,98,,,,,,,64
2013 Australian Open R64,L vs Date Krumm,84.0,,,,,104,,,,,,,64
2012 Roland Garros R64,L vs Ivanovic,84.7,,,,,101,,,,,,,69
2012 Australian Open R64,L vs Lisicki,82.1,,,,,99,,,,,,,69
2011 US Open R64,L vs Stephens,82.1,86.0,8.4,,,103,71,71.0,5.1,,,86,64
2011 US Open R128,W vs Mirza,85.0,91.1,11.7,,,106,70,74.0,4.7,,,86,64
2011 Roland Garros R128,L vs Martinez Sanchez,87.0,90.2,9.8,,,103,70,75.2,5.3,,,85,65
2011 Australian Open R32,L vs Pennetta,88.0,94.7,7.3,,,105,80,78.7,5.1,,,87,62
2011 Australian Open R64,W vs Cirstea,90.2,94.2,6.5,,,103,80,78.3,4.2,,,86,72
2011 Australian Open R128,W vs Johansson,88.1,93.8,7.9,,,105,79,78.1,3.5,,,88,73
Career (13 matches),,85.1,90.3,7.9,,,106,70,75.1,4.8,,,94,62
