Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,34,20,14,58.8%,43-33,56.6%,364-352,50.8%,6-3,66.7%,34,62.8%,38.6%,1.2%,4.3%,66.3%,60.6%,47.0%,56.0%,45.5%,50.5%,1.03
Clay,4,1,3,25.0%,4-6,40.0%,34-47,42.0%,0-0,-,4,47.6%,35.9%,1.3%,3.3%,68.0%,50.5%,44.8%,48.7%,42.6%,46.1%,0.83
Grass,7,4,3,57.1%,9-8,52.9%,77-67,53.5%,0-1,0.0%,7,62.7%,45.2%,1.2%,3.1%,66.1%,57.6%,50.9%,55.3%,48.4%,51.9%,1.08
Grand Slams,5,1,4,20.0%,5-9,35.7%,51-68,42.9%,1-0,100.0%,5,54.2%,30.5%,0.5%,3.8%,63.1%,54.8%,47.6%,52.2%,43.2%,47.5%,0.90
Premiers,3,2,1,66.7%,4-3,57.1%,33-35,48.5%,1-0,100.0%,3,55.9%,39.4%,0.8%,3.3%,70.0%,54.2%,48.6%,52.5%,45.6%,49.0%,0.96
Internationals,17,10,7,58.8%,22-17,56.4%,189-155,54.9%,0-1,0.0%,17,64.8%,45.3%,1.3%,4.5%,66.7%,62.3%,45.2%,56.6%,48.6%,52.6%,1.12
Finals,1,0,1,0.0%,1-2,33.3%,16-14,53.3%,0-1,0.0%,1,71.4%,40.0%,2.1%,1.0%,68.8%,56.1%,56.7%,56.3%,48.0%,52.1%,1.10
Semi-finals,3,1,2,33.3%,4-5,44.4%,47-50,48.5%,0-1,0.0%,3,60.4%,37.5%,1.9%,4.9%,72.8%,61.4%,35.2%,54.3%,44.0%,49.2%,0.96
Quarter-finals,6,3,3,50.0%,6-6,50.0%,50-51,49.5%,0-0,-,6,50.0%,49.0%,0.3%,3.6%,65.0%,53.5%,42.7%,49.7%,50.1%,49.9%,1.00
vs Righties,41,24,17,58.5%,53-41,56.4%,444-424,51.2%,6-3,66.7%,41,62.0%,40.1%,1.3%,3.8%,66.8%,59.2%,47.8%,55.4%,45.9%,50.6%,1.03
vs Lefties,1,0,1,0.0%,1-2,33.3%,9-15,37.5%,0-0,-,1,58.3%,16.7%,0.0%,6.9%,57.5%,58.0%,48.6%,54.0%,38.2%,46.0%,0.83
vs Top 10,7,4,3,57.1%,9-6,60.0%,74-68,52.1%,1-1,50.0%,7,57.7%,47.9%,2.0%,3.5%,67.2%,56.6%,46.4%,53.3%,48.0%,50.6%,1.03
