Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R16,L vs Muchova,75.0%,25.9%,2.8%,1/0,2.05,15.4%,76.9%,25.0%,3.8%,2.05,28.6%,77.8%,28.6%,0.0%,2.04,0.0%
2026 Miami R32,W vs Linette,72.7%,45.8%,3.0%,1/1,2.36,3.8%,75.7%,35.7%,5.4%,2.35,5.7%,74.1%,60.0%,0.0%,2.38,0.0%
2026 Indian Wells R16,L vs Noskova,52.6%,40.0%,18.4%,1/6,2.26,10.3%,47.6%,50.0%,19.0%,2.33,10.5%,66.7%,30.0%,20.0%,2.14,10.0%
2026 Dubai QF,L vs Gauff,64.6%,35.5%,0.0%,0/0,2.51,0.0%,80.8%,28.6%,0.0%,2.57,0.0%,71.4%,50.0%,0.0%,2.43,0.0%
2026 Abu Dhabi QF,L vs Alexandrova,77.1%,48.1%,8.6%,2/4,2.49,3.8%,77.5%,38.7%,12.5%,2.46,5.3%,85.2%,60.9%,3.7%,2.59,0.0%
2026 Auckland QF,W vs Linette,74.2%,67.4%,1.6%,0/1,2.43,4.4%,72.2%,69.2%,0.0%,2.37,7.1%,83.3%,65.0%,4.2%,2.54,0.0%
2025 Osaka R32,L vs Valentova,76.1%,51.0%,6.0%,1/3,2.20,7.0%,77.3%,47.1%,2.3%,2.22,9.4%,85.0%,58.8%,15.0%,2.13,0.0%
2025 Sao Paulo QF,L vs Tjen,60.8%,41.9%,9.8%,5/0,2.48,7.9%,64.3%,33.3%,0.0%,2.33,12.5%,76.5%,53.8%,29.4%,2.73,0.0%
2025 US Open R128,W vs Tauson,64.0%,60.6%,5.4%,0/6,2.46,16.0%,57.5%,57.1%,4.1%,2.47,20.0%,90.6%,65.5%,9.4%,2.41,5.0%
2025 Wimbledon R128,L vs Krejcikova,66.7%,51.6%,5.4%,2/3,2.96,24.0%,71.4%,53.3%,1.6%,2.85,45.0%,70.8%,47.1%,16.7%,3.09,0.0%
2025 Eastbourne F,L vs Joint,81.6%,50.0%,4.1%,3/1,2.59,0.0%,84.9%,42.2%,5.7%,2.58,0.0%,92.1%,60.0%,2.6%,2.61,0.0%
2025 Madrid R64,L vs Swiatek,68.8%,50.9%,16.3%,4/9,2.49,0.0%,72.3%,50.0%,14.9%,2.50,0.0%,72.4%,52.4%,20.7%,2.47,0.0%
2025 Madrid R128,W vs Tomova,78.8%,73.2%,5.8%,0/3,2.43,13.0%,86.8%,72.7%,5.3%,2.49,19.4%,72.7%,75.0%,9.1%,2.31,0.0%
2025 Miami SF,L vs Pegula,80.2%,44.7%,3.8%,1/3,2.62,9.6%,79.7%,32.7%,2.9%,2.63,13.1%,85.7%,66.7%,5.7%,2.60,0.0%
2025 Miami QF,W vs Swiatek,78.6%,70.9%,20.0%,7/7,2.60,0.0%,79.5%,65.7%,18.2%,2.50,0.0%,90.9%,80.0%,27.3%,2.84,0.0%
2025 Miami R32,W vs Keys,71.2%,72.3%,6.1%,3/1,3.10,4.4%,81.0%,67.6%,7.1%,2.98,6.7%,65.0%,84.6%,5.0%,3.36,0.0%
2024 ITF Vitoria Gasteiz F,W vs Jimenez Kasintseva,81.1%,53.3%,2.7%,1/1,1.98,0.0%,89.4%,57.1%,4.3%,2.01,0.0%,81.8%,44.4%,0.0%,1.80,0.0%
2022 ITF Madrid SF,W vs Sebov,83.7%,65.9%,6.1%,0/3,2.70,0.0%,77.4%,58.3%,6.5%,2.66,0.0%,100.0%,76.5%,5.9%,2.76,0.0%
2021 Cluj Napoca R16,L vs Sherif,65.5%,50.0%,5.5%,1/2,2.46,0.0%,59.0%,52.2%,5.1%,2.43,0.0%,81.3%,46.2%,6.3%,2.51,0.0%
2021 ITF Manacor QF,L vs Selekhmeteva,74.6%,44.7%,9.5%,5/1,2.36,4.7%,78.9%,43.3%,10.5%,2.50,4.2%,77.3%,47.1%,9.1%,2.18,5.3%
Last 52 Weeks (13 matches),,70.8%,51.4%,6.5%,35.1%,2.48,8.4%,72.7%,48.1%,5.5%,2.46,12.3%,80.1%,57.0%,9.8%,2.51,0.9%
Career (22 matches),,73.2%,54.0%,6.5%,41.7%,2.48,7.5%,75.4%,50.4%,6.0%,2.47,10.5%,81.4%,60.1%,8.7%,2.51,1.4%
