Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Miami R16,L vs Muchova,2.4%,21.4%,43.6%,4.5%,22.7%,33.3%,20.0%,58.3%,33.3%,0.0%,22.2%,55.6%,20.0%,25.0%,0.0%,-119
2026 Miami R32,W vs Linette,14.1%,32.8%,71.7%,10.3%,30.8%,68.6%,35.3%,50.0%,0.0%,21.7%,39.1%,77.8%,28.6%,12.5%,-,-7
2026 Indian Wells R16,L vs Noskova,27.3%,29.5%,20.7%,26.9%,30.8%,15.8%,54.5%,53.3%,50.0%,33.3%,33.3%,30.0%,11.1%,16.7%,-,97
2026 Dubai QF,L vs Gauff,2.5%,15.0%,34.2%,0.0%,8.7%,30.4%,16.7%,36.4%,50.0%,6.3%,25.0%,40.0%,0.0%,75.0%,100.0%,-51
2026 Abu Dhabi QF,L vs Alexandrova,15.9%,30.2%,38.5%,13.6%,25.0%,36.8%,56.5%,42.9%,0.0%,22.2%,44.4%,42.9%,0.0%,58.3%,66.7%,-40
2026 Auckland QF,W vs Linette,25.4%,38.1%,46.7%,28.2%,46.2%,57.1%,29.4%,36.4%,20.0%,22.7%,27.3%,29.4%,25.0%,20.0%,100.0%,-3
2025 Osaka R32,L vs Valentova,14.5%,21.8%,37.2%,13.5%,24.3%,43.8%,33.3%,57.9%,100.0%,21.4%,21.4%,18.2%,14.3%,28.6%,33.3%,73
2025 Sao Paulo QF,L vs Tjen,19.2%,25.0%,36.8%,20.0%,26.7%,54.2%,46.7%,60.0%,100.0%,22.2%,27.8%,7.1%,55.6%,66.7%,66.7%,90
2025 US Open R128,W vs Tauson,14.9%,30.9%,49.3%,14.1%,35.9%,52.7%,7.1%,27.8%,0.0%,20.0%,24.0%,40.0%,0.0%,11.1%,33.3%,73
2025 Wimbledon R128,L vs Krejcikova,17.4%,25.0%,40.0%,20.0%,30.0%,37.5%,27.3%,46.4%,100.0%,14.6%,19.5%,42.9%,20.0%,81.0%,100.0%,-75
2025 Eastbourne F,L vs Joint,21.9%,28.1%,44.6%,17.9%,22.4%,47.3%,12.0%,28.6%,0.0%,32.1%,42.9%,36.8%,7.1%,42.9%,50.0%,-62
2025 Madrid R64,L vs Swiatek,20.0%,27.0%,37.3%,25.0%,32.4%,33.3%,10.7%,30.0%,33.3%,11.1%,18.5%,45.8%,5.9%,20.0%,33.3%,-11
2025 Madrid R128,W vs Tomova,11.3%,24.2%,51.9%,12.2%,29.3%,52.8%,35.0%,61.9%,66.7%,10.0%,15.0%,50.0%,0.0%,0.0%,0.0%,-46
2025 Miami SF,L vs Pegula,14.7%,22.5%,51.8%,17.6%,25.7%,54.1%,9.7%,41.9%,50.0%,8.3%,16.7%,45.5%,8.3%,41.7%,50.0%,-36
2025 Miami QF,W vs Swiatek,28.8%,33.3%,34.9%,30.2%,37.2%,33.3%,31.8%,38.1%,33.3%,31.6%,31.6%,38.5%,12.5%,45.5%,100.0%,61
2025 Miami R32,W vs Keys,25.8%,30.6%,42.2%,26.8%,31.7%,43.3%,25.0%,47.6%,66.7%,25.0%,30.0%,40.0%,0.0%,45.5%,50.0%,-46
2024 ITF Vitoria Gasteiz F,W vs Jimenez Kasintseva,22.4%,27.6%,52.5%,25.5%,31.9%,51.4%,10.5%,53.6%,50.0%,16.7%,16.7%,60.0%,0.0%,75.0%,-,-4
2022 ITF Madrid SF,W vs Sebov,31.4%,45.7%,73.9%,41.7%,58.3%,64.3%,20.0%,28.6%,-,10.0%,20.0%,88.9%,0.0%,50.0%,-,-14
2021 Cluj Napoca R16,L vs Sherif,12.5%,25.0%,51.9%,13.6%,27.3%,47.4%,30.0%,58.3%,50.0%,20.0%,40.0%,62.5%,0.0%,60.0%,-,9
2021 ITF Manacor QF,L vs Selekhmeteva,15.4%,19.2%,37.2%,20.0%,23.3%,33.3%,20.0%,26.7%,16.7%,9.5%,14.3%,42.1%,11.1%,16.7%,0.0%,-49
Last 52 Weeks (13 matches),,16.7%,27.5%,43.6%,16.9%,29.1%,44.6%,27.6%,41.8%,42.3%,18.2%,27.4%,41.6%,14.8%,36.7%,53.3%,18
Career (22 matches),,18.3%,28.5%,46.1%,19.6%,31.0%,46.4%,25.0%,42.0%,40.8%,18.5%,27.9%,45.4%,13.1%,37.6%,54.8%,45
