Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Miami R16,L vs Muchova,3.9,4.5,3.1,34.0%,23.1%,50.0%,0.0%,54.9%,0.0%,-1.0,-1.6,-4.0,-7.3
2026 Miami R32,W vs Linette,4.2,4.5,3.8,52.7%,51.7%,62.5%,63.6%,49.3%,7.0%,8.5,8.1,23.0,21.7
2026 Indian Wells R16,L vs Noskova,2.9,3.2,2.5,31.6%,36.8%,33.3%,0.0%,45.5%,7.1%,-0.5,-1.4,-6.0,-15.4
2026 Dubai QF,L vs Gauff,5.2,5.8,4.7,45.7%,33.3%,38.5%,23.1%,63.5%,6.8%,-13.0,-10.4,1.5,2.2
2026 Abu Dhabi QF,L vs Alexandrova,3.9,4.0,3.9,49.4%,30.3%,50.0%,45.5%,38.6%,15.5%,-3.0,-3.8,6.0,5.7
2026 Auckland QF,W vs Linette,4.1,4.7,3.5,54.8%,57.8%,58.3%,50.0%,39.0%,5.6%,11.0,14.5,22.0,18.6
2025 Osaka R32,L vs Valentova,3.6,3.6,3.5,39.7%,44.4%,80.0%,50.0%,45.9%,2.2%,2.0,2.6,4.0,4.4
2025 Sao Paulo QF,L vs Tjen,3.4,3.6,3.2,44.1%,41.2%,30.8%,40.0%,67.9%,6.8%,-2.5,-2.8,-0.5,-1.3
2025 US Open R128,W vs Tauson,3.7,4.3,3.2,46.8%,56.3%,45.5%,45.5%,42.3%,6.1%,8.0,6.6,25.5,15.5
2025 Wimbledon R128,L vs Krejcikova,3.3,3.7,3.0,45.0%,48.7%,47.6%,20.0%,45.2%,6.9%,-2.0,-2.0,9.0,7.4
2025 Eastbourne F,L vs Joint,4.6,4.7,4.5,59.6%,44.7%,48.3%,36.8%,57.0%,4.2%,-2.5,-1.2,5.5,3.5
2025 Madrid R64,L vs Swiatek,3.0,3.3,2.7,46.7%,37.8%,50.0%,33.3%,54.2%,3.3%,1.0,1.0,-2.0,-2.4
2025 Madrid R128,W vs Tomova,4.1,4.3,4.0,62.5%,46.9%,66.7%,80.0%,48.0%,4.9%,9.5,10.6,23.5,24.2
2025 Miami SF,L vs Pegula,4.8,4.8,4.9,42.4%,53.4%,41.7%,59.1%,59.5%,6.9%,7.0,3.0,-1.5,-1.0
2025 Miami QF,W vs Swiatek,3.2,2.9,3.4,53.0%,63.6%,57.1%,50.0%,54.2%,3.9%,22.5,25.9,3.0,4.2
2025 Miami R32,W vs Keys,3.2,3.4,3.1,62.0%,45.7%,50.0%,75.0%,44.7%,4.5%,11.5,17.4,4.5,5.6
2024 ITF Vitoria Gasteiz F,W vs Jimenez Kasintseva,4.9,4.9,4.9,53.6%,48.1%,40.0%,71.4%,66.1%,6.3%,12.5,6.9,-1.0,-1.1
2022 ITF Madrid SF,W vs Sebov,3.8,3.3,4.2,60.0%,80.0%,72.7%,66.7%,50.8%,6.3%,11.5,18.0,21.0,35.0
2021 Cluj Napoca R16,L vs Sherif,3.7,3.8,3.7,29.6%,45.5%,64.3%,40.0%,53.9%,4.6%,7.0,9.5,12.5,20.2
2021 ITF Manacor QF,L vs Selekhmeteva,4.4,4.7,4.2,44.3%,40.0%,43.8%,30.8%,64.6%,6.8%,3.0,2.3,4.0,5.8
Last 52 Weeks (13 matches),,3.8,4.1,3.5,47.6%,44.7%,50.8%,40.8%,49.9%,6.2%,1.2,1.2,8.3,8.6
Career (22 matches),,3.9,4.1,3.8,49.2%,48.5%,51.1%,49.2%,53.6%,5.8%,5.6,5.3,7.8,8.8
