Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 US Open R32,W vs Ponchet,5.0,5.7,4.5,55.1%,61.5%,71.4%,58.8%,62.2%,2.4%,13.5,10.5,2.5,3.1
2024 US Open R64,W vs Zarazua,8.3,6.2,10.1,48.8%,66.7%,57.9%,57.8%,65.5%,6.2%,18.0,6.0,8.5,5.7
2024 US Open R128,W vs Hibino,4.7,4.4,4.9,75.0%,65.0%,61.1%,83.3%,40.7%,3.4%,8.5,15.7,9.5,11.3
2024 Cincinnati R64,W vs Kalinina,3.8,3.4,4.2,63.5%,50.0%,38.5%,40.0%,60.6%,9.9%,8.5,8.4,2.5,4.0
2024 Olympics R64,W vs Sherif,5.3,5.9,4.8,53.3%,51.0%,50.0%,48.4%,54.1%,8.6%,9.0,4.3,14.0,8.6
2024 Wimbledon R32,L vs Rybakina,3.4,4.0,3.0,34.0%,34.8%,36.4%,33.3%,47.2%,8.9%,-7.5,-18.3,1.5,3.1
2024 Wimbledon R64,W vs Fernandez,4.0,3.6,4.6,53.9%,44.2%,52.9%,40.0%,48.7%,3.7%,9.0,6.8,17.5,11.4
2024 Wimbledon R128,W vs Parks,3.3,3.2,3.4,77.1%,57.9%,60.0%,0.0%,56.3%,28.6%,7.5,15.3,3.5,12.5
2024 Bad Homburg R32,W vs Svitolina,4.0,4.0,4.0,51.8%,53.7%,70.4%,40.0%,46.7%,11.1%,16.0,11.2,22.0,14.1
2024 Madrid R128,L vs Errani,6.1,6.3,5.9,45.7%,56.3%,44.4%,51.4%,36.9%,4.8%,17.5,8.2,14.0,4.1
2024 Charleston R64,W vs Kessler,5.9,4.7,6.8,62.1%,64.0%,78.6%,80.0%,50.0%,4.5%,10.0,9.4,18.5,17.5
2024 Miami R64,L vs Kalinina,5.2,4.9,5.6,48.1%,46.2%,51.2%,47.4%,52.1%,7.4%,4.5,1.6,23.0,9.5
2024 Miami R128,W vs Burel,4.8,4.9,4.7,67.3%,55.2%,59.1%,58.3%,52.2%,10.2%,21.0,18.6,9.5,10.0
2024 Indian Wells R16,W vs Kerber,5.0,5.4,4.7,60.7%,58.8%,52.6%,47.1%,42.5%,5.0%,-0.5,-0.4,14.5,9.7
2024 Indian Wells R32,W vs Volynets,6.3,5.3,7.4,63.8%,57.1%,48.1%,46.5%,62.4%,4.4%,12.5,4.3,17.5,10.4
2024 Indian Wells R64,W vs Vekic,4.1,4.2,3.9,56.7%,51.6%,31.3%,50.0%,58.6%,8.3%,4.0,3.3,21.0,25.3
2024 Indian Wells R128,W vs Zhu,5.5,6.4,4.9,49.2%,62.9%,50.0%,80.0%,49.3%,8.2%,1.5,1.0,15.5,10.3
2024 Australian Open R64,L vs Timofeeva,6.0,5.8,6.1,54.3%,30.4%,43.2%,63.9%,52.8%,5.3%,5.0,2.1,8.0,3.8
2023 US Open R16,L vs Gauff,5.8,6.9,4.9,30.6%,62.9%,50.0%,50.0%,57.7%,6.0%,13.0,6.0,7.5,4.9
2023 US Open R32,W vs Brady,6.3,6.5,6.2,49.2%,59.3%,51.5%,61.8%,50.7%,1.8%,8.5,4.0,1.0,0.5
Career (236 matches),,5.0,5.0,5.0,54.4%,51.7%,50.4%,52.3%,51.2%,7.5%,4.9,3.5,8.1,6.3
