Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 US Open R32,W vs Ponchet,63.3%,57.9%,0.0%,0/0,2.31,10.3%,57.6%,47.4%,0.0%,2.28,15.8%,86.4%,68.4%,0.0%,2.38,0.0%
2024 US Open R64,W vs Zarazua,89.6%,55.0%,1.5%,0/1,2.33,2.4%,91.1%,61.0%,0.0%,2.47,3.1%,95.0%,42.1%,5.0%,1.87,0.0%
2024 US Open R128,W vs Hibino,82.5%,69.7%,0.0%,0/0,2.65,25.0%,83.3%,75.0%,0.0%,2.88,35.3%,92.9%,61.5%,0.0%,2.10,0.0%
2024 Cincinnati R64,W vs Kalinina,77.8%,50.0%,7.4%,0/4,2.24,12.5%,84.8%,50.0%,3.0%,2.08,26.3%,93.3%,50.0%,20.0%,2.38,0.0%
2024 Olympics R64,W vs Sherif,83.5%,52.6%,6.6%,4/2,2.49,3.9%,83.1%,49.2%,1.4%,2.48,6.3%,94.4%,64.7%,27.8%,2.51,0.0%
2024 Wimbledon R32,L vs Rybakina,51.1%,43.5%,15.6%,6/1,2.82,3.1%,48.4%,40.0%,9.7%,2.84,6.7%,80.0%,50.0%,40.0%,2.80,0.0%
2024 Wimbledon R64,W vs Fernandez,76.1%,52.9%,13.0%,2/10,2.51,10.1%,71.4%,51.1%,7.9%,2.42,15.7%,89.3%,56.0%,25.0%,2.66,0.0%
2024 Wimbledon R128,W vs Parks,70.0%,67.9%,10.0%,3/1,2.51,12.0%,86.7%,53.8%,6.7%,2.56,17.6%,83.3%,80.0%,16.7%,2.39,0.0%
2024 Bad Homburg R32,W vs Svitolina,68.4%,60.0%,9.5%,2/7,2.36,7.6%,59.3%,56.3%,3.7%,2.43,13.0%,94.3%,63.6%,20.0%,2.26,0.0%
2024 Madrid R128,L vs Errani,89.7%,54.8%,3.4%,2/2,2.37,10.6%,89.5%,55.3%,1.0%,2.32,5.9%,90.9%,50.0%,27.3%,2.44,17.6%
2024 Charleston R64,W vs Kessler,87.0%,72.5%,4.3%,1/1,2.42,7.1%,89.7%,69.2%,6.9%,2.38,10.0%,87.5%,78.6%,0.0%,2.51,0.0%
2024 Miami R64,L vs Kalinina,81.7%,50.0%,7.5%,5/4,2.44,15.5%,84.3%,51.4%,6.0%,2.32,23.5%,80.0%,46.4%,11.4%,2.66,0.0%
2024 Miami R128,W vs Burel,78.3%,57.4%,8.3%,4/1,2.16,14.6%,84.4%,59.3%,3.1%,1.98,25.0%,95.2%,55.0%,19.0%,2.41,0.0%
2024 Indian Wells R16,W vs Kerber,81.4%,57.9%,1.4%,0/1,2.46,0.0%,86.8%,63.0%,1.9%,2.40,0.0%,78.6%,36.4%,0.0%,2.58,0.0%
2024 Indian Wells R32,W vs Volynets,87.2%,57.3%,3.5%,1/2,2.39,3.2%,88.9%,56.3%,2.8%,2.52,4.7%,100.0%,63.6%,9.1%,2.11,0.0%
2024 Indian Wells R64,W vs Vekic,68.5%,42.0%,8.2%,5/1,2.57,5.2%,69.8%,43.3%,4.7%,2.35,5.4%,87.0%,40.0%,17.4%,2.97,4.8%
2024 Indian Wells R128,W vs Zhu,84.6%,57.6%,2.6%,1/1,2.50,2.1%,82.1%,53.1%,2.6%,2.35,3.1%,94.4%,61.8%,2.8%,2.79,0.0%
2024 Australian Open R64,L vs Timofeeva,86.5%,51.8%,4.2%,2/2,2.65,16.9%,89.4%,50.8%,3.0%,2.58,23.2%,85.7%,54.2%,7.1%,2.84,0.0%
2023 US Open R16,L vs Gauff,69.9%,48.3%,6.0%,2/3,2.26,3.1%,70.6%,44.4%,2.0%,2.30,5.1%,78.6%,54.5%,14.3%,2.21,0.0%
2023 US Open R32,W vs Brady,78.0%,53.1%,0.0%,0/0,2.47,3.4%,76.1%,62.9%,0.0%,2.42,5.1%,90.6%,41.4%,0.0%,2.58,0.0%
Career (236 matches),,78.5%,53.4%,6.0%,56.0%,2.52,8.0%,79.6%,50.9%,4.1%,2.47,10.8%,88.9%,57.6%,10.6%,2.61,2.4%
