Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,640,452,188,70.6%,955-473,66.9%,7481-5493,57.7%,69-53,56.6%,568,72.0%,42.4%,3.1%,3.1%,67.0%,64.4%,48.3%,59.1%,47.1%,53.1%,1.15
Clay,180,117,63,65.0%,251-143,63.7%,2031-1578,56.3%,17-22,43.6%,160,67.2%,44.9%,2.3%,2.5%,69.6%,61.5%,48.3%,57.5%,47.4%,52.5%,1.12
Grass,90,62,28,68.9%,134-69,66.0%,1078-824,56.7%,12-10,54.5%,86,71.5%,37.8%,4.2%,2.8%,70.2%,66.8%,49.0%,61.5%,44.3%,52.9%,1.15
Carpet,2,1,1,50.0%,2-3,40.0%,20-23,46.5%,0-1,0.0%,0,,,,,,,,,,,
Grand Slams,183,129,54,70.5%,276-132,67.6%,2125-1525,58.2%,19-16,54.3%,166,74.2%,39.8%,3.2%,3.0%,67.6%,64.8%,49.3%,59.7%,47.1%,53.3%,1.17
Premiers,339,225,114,66.4%,473-276,63.2%,3898-3059,56.0%,35-40,46.7%,328,69.7%,40.6%,3.1%,3.0%,67.9%,63.5%,48.1%,58.6%,46.4%,52.6%,1.12
Internationals,186,137,49,73.7%,290-120,70.7%,2194-1493,59.5%,20-14,58.8%,157,72.2%,47.1%,3.3%,2.9%,68.3%,65.6%,48.2%,60.0%,48.3%,54.2%,1.21
Finals,55,30,25,54.5%,64-61,51.2%,600-551,52.1%,4-6,40.0%,50,67.0%,32.6%,2.7%,3.0%,68.4%,62.8%,45.2%,57.2%,43.7%,50.4%,1.02
Semi-finals,87,55,32,63.2%,120-79,60.3%,1021-882,53.7%,11-9,55.0%,84,70.8%,37.9%,3.0%,3.0%,68.2%,61.4%,46.4%,56.6%,46.1%,51.4%,1.06
Quarter-finals,122,80,42,65.6%,168-102,62.2%,1368-1106,55.3%,15-13,53.6%,114,70.8%,41.6%,3.1%,3.0%,68.2%,63.4%,48.2%,58.6%,45.9%,52.3%,1.11
vs Righties,813,565,248,69.5%,1199-607,66.4%,9464-7006,57.5%,85-76,52.8%,729,71.2%,42.9%,3.1%,3.0%,67.6%,64.1%,48.2%,59.0%,47.1%,53.0%,1.15
vs Lefties,96,64,32,66.7%,137-80,63.1%,1105-893,55.3%,12-10,54.5%,83,69.7%,33.7%,2.5%,2.4%,69.3%,63.3%,49.7%,59.2%,45.1%,52.4%,1.11
vs Top 10,135,60,75,44.4%,138-176,43.9%,1403-1530,47.8%,14-13,51.9%,120,65.9%,33.2%,2.6%,2.9%,67.4%,60.0%,45.5%,55.3%,43.0%,49.3%,0.96
