Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2021 ITF Potchefstroom F,L vs Parrizas Diaz,0.0%,-,0.9%,0.0%,5.6%,0.0%,0.0%,7.4%,0.0%,0.0%,-,-2,25
2018 Fed Cup RR,L vs Cirstea,0.0%,-,4.7%,25.0%,7.7%,10.0%,0.0%,3.7%,16.7%,0.0%,-,-55,-38
2016 Stanford R32,L vs Gibbs,2.6%,50.0%,12.6%,36.4%,5.8%,12.0%,0.0%,4.4%,20.8%,1.2%,20.0%,-91,-59
Career (3 matches),,1.1%,50.0%,7.4%,33.3%,6.1%,11.4%,0.0%,4.8%,20.0%,0.7%,20.0%,-62,-33
