Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Monterrey R32,W vs Navarro,17.0%,19.1%,45.5%,16.2%,18.9%,54.8%,41.2%,15.0%,50.0%,21.1%,21.1%,6.7%,44.4%,0.0%,0.0%,-43
2020 ITF Midland R32,L vs Di Lorenzo,10.2%,15.3%,39.6%,8.7%,15.2%,42.9%,80.0%,7.7%,0.0%,15.4%,15.4%,27.3%,83.3%,14.3%,0.0%,-104
Career (2 matches),,14.4%,17.6%,43.1%,13.3%,17.5%,50.0%,55.6%,12.1%,28.6%,18.8%,18.8%,15.4%,60.0%,5.9%,0.0%,-67
