Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
4,Ankita Raina [IND],2,2,50.0%,2,1,1,50.0%,2017,2023,0,,,,,,,,,,
4,Jia Qi Kang [CHN],4,0,100.0%,0,0,0,-,2016,2018,1,1.52,9.6%,5.8%,59.6%,80.6%,38.1%,63.5%,55.6%,66.7%,62.5%
3,Sahaja Yamalapalli [IND],2,1,66.7%,1,0,1,0.0%,2022,2023,0,,,,,,,,,,
3,Peangtarn Plipuech [THA],0,3,0.0%,0,0,0,-,2014,2022,0,,,,,,,,,,
3,Robin Anderson [USA],1,2,33.3%,2,1,1,50.0%,2017,2022,0,,,,,,,,,,
3,Sarah Beth Grey [GBR],3,0,100.0%,0,0,0,-,2017,2022,0,,,,,,,,,,
3,Chihiro Muramatsu [JPN],1,2,33.3%,0,0,0,-,2017,2019,0,,,,,,,,,,
3,Katie Swan [GBR],2,1,66.7%,1,1,0,100.0%,2017,2019,0,,,,,,,,,,
3,Valeriya Strakhova [UKR],3,0,100.0%,1,1,0,100.0%,2016,2018,0,,,,,,,,,,
3,Yuxuan Zhang [CHN],1,2,33.3%,0,0,0,-,2018,2018,1,0.66,5.4%,7.1%,64.3%,58.3%,45.0%,53.6%,30.8%,42.9%,0.0%
3,Jia Jing Lu [CHN],3,0,100.0%,0,0,0,-,2017,2018,1,1.04,4.6%,10.2%,49.1%,73.6%,43.6%,58.3%,43.4%,75.0%,62.5%
3,Xu Liu Sun [CHN],3,0,100.0%,0,0,0,-,2015,2018,0,,,,,,,,,,
3,Fang Ying Xun [CHN],1,2,33.3%,1,1,0,100.0%,2016,2018,0,,,,,,,,,,
3,Pei Chi Lee [TPE],2,1,66.7%,1,1,0,100.0%,2016,2018,1,1.13,9.7%,6.9%,63.9%,87.0%,38.5%,69.4%,34.5%,50.0%,100.0%
3,Anastasia Gasanova [RUS],1,2,33.3%,0,0,0,-,2016,2017,0,,,,,,,,,,
