Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,7,10,41.2%,18-23,43.9%,177-195,47.6%,0-1,0.0%,12,61.6%,31.2%,1.5%,3.3%,68.1%,60.4%,46.0%,55.8%,42.2%,48.7%,0.95
Clay,1,0,1,0.0%,1-2,33.3%,14-18,43.8%,0-1,0.0%,1,46.7%,43.8%,1.1%,1.1%,66.3%,54.1%,41.9%,50.0%,45.0%,47.4%,0.90
Semi-finals,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,1,70.0%,10.0%,2.9%,5.8%,71.0%,71.4%,30.0%,59.4%,28.6%,45.6%,0.70
Quarter-finals,2,1,1,50.0%,2-2,50.0%,20-17,54.1%,0-1,0.0%,1,87.5%,62.5%,5.7%,0.0%,69.8%,67.6%,56.3%,64.2%,53.4%,57.9%,1.49
vs Righties,8,2,6,25.0%,5-13,27.8%,71-94,43.0%,0-1,0.0%,5,55.3%,23.4%,0.9%,5.3%,70.3%,59.5%,39.6%,53.6%,39.8%,46.6%,0.86
vs Lefties,1,1,0,100.0%,2-0,100.0%,12-7,63.2%,0-0,-,0,,,,,,,,,,,
