Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,21,8,13,38.1%,18-27,40.0%,186-222,45.6%,1-3,25.0%,0,,,,,,,,,,,,QF (Istanbul $25K)
2017,36,17,19,47.2%,37-40,48.1%,333-350,48.8%,4-1,80.0%,0,,,,,,,,,,,,SF (Sharm El Sheikh $15K)
2016,38,16,22,42.1%,40-46,46.5%,394-405,49.3%,4-6,40.0%,0,,,,,,,,,,,,F (Sharm El Sheikh $10K)
2015,53,29,24,54.7%,63-61,50.8%,553-569,49.3%,7-3,70.0%,0,,,,,,,,,,,,F (Bath $25K)
2014,52,30,22,57.7%,65-55,54.2%,599-546,52.3%,7-8,46.7%,0,,,,,,,,,,,,W (Minsk 25K)
2013,48,27,21,56.3%,59-49,54.6%,524-481,52.1%,8-4,66.7%,0,,,,,,,,,,,,W (Izmir 25K)
2012,46,27,19,58.7%,63-45,58.3%,534-450,54.3%,5-5,50.0%,0,,,,,,,,,,,,F (Zawada 25K)
2011,38,19,19,50.0%,40-41,49.4%,387-366,51.4%,4-5,44.4%,0,,,,,,,,,,,,W (Opole 25K)
2010,39,24,15,61.5%,52-36,59.1%,413-384,51.8%,8-1,88.9%,0,,,,,,,,,,,,SF (2x)
2009,33,14,19,42.4%,32-39,45.1%,328-328,50.0%,1-5,16.7%,0,,,,,,,,,,,,QF (3x)
2008,32,20,12,62.5%,41-25,62.1%,336-296,53.2%,5-2,71.4%,0,,,,,,,,,,,,F (3x)
2007,31,18,13,58.1%,42-25,62.7%,336-266,55.8%,1-1,50.0%,0,,,,,,,,,,,,F (Hechingen 25K)
2006,41,26,15,63.4%,54-35,60.7%,425-369,53.5%,1-2,33.3%,0,,,,,,,,,,,,F (3x)
2005,29,15,14,51.7%,34-34,50.0%,313-307,50.5%,2-2,50.0%,0,,,,,,,,,,,,SF (Valasske Mezirici 25K)
2004,15,8,7,53.3%,17-15,53.1%,141-140,50.2%,2-0,100.0%,0,,,,,,,,,,,,QF (2x)
2003,30,15,15,50.0%,33-34,49.3%,322-299,51.9%,2-2,50.0%,0,,,,,,,,,,,,W (Buchen 10K)
2002,16,6,10,37.5%,17-18,48.6%,157-158,49.8%,2-1,66.7%,0,,,,,,,,,,,,QF (2x)
Career,598,319,279,53.3%,707-625,53.1%,6281-5936,51.4%,64-51,55.7%,0,,,,,,,,,,,,
