Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2017 Shrewsbury $25K R32,L vs Lumsden,13% (1/8),100% (1/1),0/4,63% (5/8),0% (0/5),0/1,0/0,0/1,0/0,0/1
2017 Istanbul $25K R32,L vs Gorgodze,44% (4/9),100% (4/4),1/5,78% (7/9),0% (0/7),1/4,0/0,0/2,0/0,0/1
2017 Hua Hin $25K R32,W vs Kajuru,79% (11/14),91% (10/11),5/7,69% (9/13),11% (1/9),3/8,0/1,0/1,0/1,0/0
2017 Artvin $60K R16,L vs Raina,64% (9/14),67% (6/9),5/8,69% (9/13),11% (1/9),2/5,0/1,0/0,0/0,0/0
2017 Artvin $60K R32,W vs Ozgen,67% (6/9),83% (5/6),1/2,44% (4/9),50% (2/4),4/5,2/2,0/0,1/1,0/0
2017 Chiswick $25K R32,L vs Kerkhove,50% (5/10),60% (3/5),1/6,70% (7/10),14% (1/7),1/3,0/0,0/0,0/0,0/0
2017 Woking $25K R32,L vs Kerkhove,14% (1/7),0% (0/1),0/4,71% (5/7),0% (0/5),0/0,0/0,1/2,0/0,1/1
2017 Bursa $60K R16,L vs Zhuk,50% (4/8),25% (1/4),1/4,75% (6/8),17% (1/6),0/1,0/0,1/2,0/0,0/1
2017 Bursa $60K R32,W vs Shroff,63% (5/8),100% (5/5),1/1,50% (4/8),75% (3/4),4/5,2/2,0/0,1/1,0/0
2017 Denain $25K R16,L vs Arcangioli,40% (4/10),100% (4/4),3/5,70% (7/10),0% (0/7),0/4,0/0,1/3,0/0,0/1
2017 Stuttgart Vaihingen $25K R16,L vs Zaja,38% (3/8),33% (1/3),1/5,88% (7/8),29% (2/7),0/1,0/0,2/2,0/0,1/1
2017 Stuttgart Vaihingen $25K R32,W vs Brianti,54% (7/13),86% (6/7),1/4,54% (7/13),29% (2/7),4/5,0/0,2/3,0/0,2/2
2017 Lenzerheide $25K R32,L vs Scholl,0% (0/7),- (0/0),0/3,71% (5/7),0% (0/5),0/0,0/0,0/2,0/0,0/1
2017 Padova $25K QF,L vs Peterson,57% (8/14),88% (7/8),4/7,71% (10/14),10% (1/10),4/7,1/1,0/2,0/0,0/1
2017 Padova $25K R16,W vs Grabher,50% (5/10),100% (5/5),2/3,40% (4/10),25% (1/4),4/5,1/2,1/1,0/1,0/0
2017 Padova $25K R32,W vs Pella,67% (6/9),100% (6/6),2/3,67% (6/9),50% (3/6),3/4,0/1,0/0,0/1,0/0
2017 Stare Splavy $25K R32,L vs Ozgen,20% (2/10),100% (2/2),1/3,50% (5/10),0% (0/5),1/2,0/0,1/3,0/0,1/2
2017 Dunakeszi $25K R16,L vs Soylu,70% (7/10),86% (6/7),4/7,90% (9/10),0% (0/9),1/6,0/1,0/2,0/0,0/1
2017 Dunakeszi $25K R32,W vs Udvardy,73% (8/11),88% (7/8),3/4,60% (6/10),33% (2/6),2/5,0/0,0/0,0/0,0/0
2017 Istanbul $25K QF,L vs Rybarikova,14% (1/7),0% (0/1),0/4,71% (5/7),0% (0/5),0/0,0/0,0/1,0/0,0/0
2017 (29 matches),,54.2%,80.5%,40.4%,59.6%,17.4%,57.3%,63.2%,41.5%,44.4%,37.5%
2016 (28 matches),,53.5%,79.4%,37.8%,52.2%,16.6%,51.8%,64.0%,51.7%,57.1%,40.0%
2015 (22 matches),,51.9%,77.5%,41.3%,52.2%,17.8%,63.9%,50.0%,44.0%,30.0%,16.7%
2014 (15 matches),,55.6%,78.9%,41.9%,62.4%,17.5%,50.0%,38.5%,61.9%,66.7%,70.0%
2013 (26 matches),,54.3%,85.6%,50.0%,46.4%,17.1%,64.4%,61.5%,64.0%,60.0%,77.8%
Career (134 matches),,53.6%,81.0%,42.3%,53.2%,17.8%,58.8%,59.4%,51.6%,53.4%,48.1%
