Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,12,5,7,41.7%,12-16,42.9%,124-131,48.6%,1-1,50.0%,11,75.6%,21.4%,5.4%,1.5%,63.1%,66.9%,54.8%,62.5%,35.4%,49.0%,0.94,R16 (2x)
2025,3,2,1,66.7%,4-0,100.0%,16-12,57.1%,0-0,-,3,57.1%,34.4%,6.6%,1.4%,68.7%,64.1%,50.0%,59.7%,39.6%,49.9%,0.98,
Career,15,7,8,46.7%,16-16,50.0%,140-143,49.5%,1-1,50.0%,14,71.6%,24.1%,5.7%,1.5%,64.3%,66.3%,53.9%,61.9%,36.2%,49.2%,0.95,
