Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Horacio De La Pena [ARG],5,2,71.4%,3,2,1,66.7%,1989,1993,5,1.16,1.7%,4.1%,72.8%,63.7%,55.3%,61.4%,44.6%,74.3%,45.2%
6,Jonas Svensson [SWE],2,4,33.3%,4,2,2,50.0%,1985,1993,3,0.85,2.8%,2.8%,67.0%,62.0%,42.9%,55.7%,37.7%,45.5%,30.0%
6,Goran Ivanisevic [CRO],4,2,66.7%,1,1,0,100.0%,1990,1991,4,1.09,5.3%,1.8%,66.7%,75.8%,51.6%,67.7%,35.1%,60.9%,44.0%
6,Guillermo Perez Roldan [ARG],4,2,66.7%,1,0,1,0.0%,1989,1991,1,1.34,2.9%,7.2%,75.4%,61.5%,47.1%,58.0%,56.2%,33.3%,66.7%
5,Guy Forget [FRA],2,3,40.0%,3,1,2,33.3%,1990,1993,2,1.18,2.5%,0.0%,76.3%,57.8%,60.7%,58.5%,49.0%,70.6%,80.0%
5,Martin Jaite [ARG],0,5,0.0%,2,0,2,0.0%,1989,1992,2,0.93,2.5%,1.0%,72.6%,56.6%,51.9%,55.3%,41.5%,42.1%,56.3%
5,Karel Novacek [CZE],3,2,60.0%,1,0,1,0.0%,1989,1992,3,0.99,2.2%,1.7%,68.0%,64.5%,49.1%,59.6%,40.0%,35.7%,34.8%
4,Andrei Chesnokov [RUS],1,3,25.0%,1,0,1,0.0%,1990,1993,3,0.89,1.8%,2.7%,64.8%,66.2%,40.3%,57.1%,38.0%,65.4%,70.0%
4,Boris Becker [GER],0,4,0.0%,1,0,1,0.0%,1988,1992,3,0.57,3.6%,2.5%,73.6%,64.8%,38.5%,57.9%,24.2%,60.9%,50.0%
4,Andre Agassi [USA],0,4,0.0%,3,1,2,33.3%,1991,1992,4,0.93,5.4%,4.7%,66.6%,66.0%,42.3%,58.1%,38.8%,57.4%,33.3%
4,Aaron Krickstein [USA],0,4,0.0%,2,1,1,50.0%,1986,1992,2,0.77,3.0%,3.6%,65.3%,49.5%,44.8%,47.9%,39.9%,27.8%,27.3%
4,Magnus Gustafsson [SWE],1,3,25.0%,1,0,1,0.0%,1989,1991,1,1.16,1.2%,2.4%,84.5%,69.0%,53.8%,66.7%,38.6%,50.0%,42.9%
3,Kenneth Carlsen [DEN],1,2,33.3%,1,0,1,0.0%,1992,1994,0,,,,,,,,,,
3,Stefano Pescosolido [ITA],2,1,66.7%,1,1,0,100.0%,1992,1993,2,1.14,3.2%,5.2%,74.7%,64.3%,48.7%,60.4%,45.3%,53.3%,47.1%
3,Michael Stich [GER],2,1,66.7%,1,1,0,100.0%,1991,1993,2,1.09,0.0%,1.9%,77.0%,62.2%,51.0%,59.6%,44.0%,60.9%,52.2%
