Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,8,5,3,62.5%,7,3,4,42.9%,1990,1992,QF,7,1.19,3.7%,2.1%,70.0%,71.3%,58.4%,67.4%,38.7%,51.4%,42.0%
Roland Garros,6,Clay,14,8,6,57.1%,3,2,1,66.7%,1985,1993,QF,9,1.13,4.0%,2.6%,74.5%,66.0%,48.8%,61.6%,43.2%,47.5%,46.7%
Wimbledon,1,Grass,2,1,1,50.0%,1,0,1,0.0%,1991,1991,R64,2,1.05,6.3%,5.2%,68.4%,72.6%,52.7%,66.3%,35.2%,63.6%,38.9%
US Open,2,Hard,3,1,2,33.3%,1,0,1,0.0%,1991,1993,R64,3,0.79,2.7%,3.0%,75.0%,59.1%,38.7%,54.0%,36.6%,48.8%,44.0%
Olympics,1,,2,1,1,50.0%,1,1,0,100.0%,1992,1992,R32,0,,,,,,,,,,
Davis Cup,6,,14,5,9,35.7%,5,1,4,20.0%,1983,1993,,0,,,,,,,,,,
Stuttgart Outdoor,5,Clay,15,10,5,66.7%,5,4,1,80.0%,1989,1993,F,6,1.03,3.4%,3.8%,68.2%,59.7%,48.9%,56.3%,45.0%,56.7%,51.0%
Barcelona,5,Clay,11,6,5,54.5%,4,2,2,50.0%,1989,1993,R16,5,1.02,2.3%,4.0%,72.2%,62.8%,39.5%,56.3%,44.7%,53.1%,41.1%
Palermo,5,Clay,9,4,5,44.4%,3,0,3,0.0%,1985,1992,QF,3,0.98,0.8%,3.3%,69.8%,60.9%,42.5%,55.4%,43.7%,54.8%,38.7%
Monte Carlo Masters,4,Clay,12,8,4,66.7%,1,1,0,100.0%,1990,1993,SF,11,1.08,1.6%,1.9%,75.2%,61.9%,48.4%,58.5%,44.9%,50.0%,47.4%
Munich,4,Clay,6,2,4,33.3%,1,0,1,0.0%,1989,1992,R16,4,1.09,4.0%,0.8%,71.5%,59.6%,54.9%,58.2%,45.6%,57.1%,36.8%
Vienna,4,Carpet,5,1,4,20.0%,4,1,3,25.0%,1985,1991,R16,1,0.56,4.4%,15.6%,64.4%,55.2%,25.0%,44.4%,31.1%,28.6%,0.0%
