Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 Guayaquil CH QF,W vs Barrena,38% (3/8),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2024 Cordoba R32,L vs Diaz Acosta,22% (2/9),50% (1/2),1/4,88% (7/8),43% (3/7),0/1,0/0,1/1,0/0,1/1
2024 (2 matches),,29.4%,80.0%,25.0%,41.2%,42.9%,75.0%,100.0%,100.0%,100.0%,100.0%
Career (2 matches),,29.4%,80.0%,25.0%,41.2%,42.9%,75.0%,100.0%,100.0%,100.0%,100.0%
