Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,162,72,90,44.4%,167-188,47.0%,1533-1676,47.8%,18-14,56.3%,132,-,-,1.4%,3.1%,64.2%,58.1%,46.4%,53.9%,43.3%,48.6%,0.94
Clay,49,19,30,38.8%,44-60,42.3%,423-489,46.4%,0-0,-,42,-,-,0.9%,2.6%,66.9%,57.4%,43.3%,52.7%,44.1%,48.4%,0.93
Grass,23,8,15,34.8%,23-32,41.8%,231-277,45.5%,2-4,33.3%,22,-,-,1.8%,3.4%,65.8%,60.2%,46.3%,55.4%,39.3%,47.4%,0.88
Carpet,2,1,1,50.0%,2-3,40.0%,24-27,47.1%,0-0,-,0,,,,,,,,,,,
Grand Slams,32,10,22,31.3%,27-45,37.5%,295-377,43.9%,2-4,33.3%,29,-,-,1.6%,3.5%,64.4%,59.6%,43.4%,53.9%,40.8%,47.3%,0.88
Premiers,58,21,37,36.2%,48-72,40.0%,470-598,44.0%,5-4,55.6%,57,-,-,1.4%,3.4%,63.3%,55.6%,43.0%,51.0%,43.0%,47.0%,0.88
Internationals,101,47,54,46.5%,110-115,48.9%,981-1027,48.9%,7-6,53.8%,93,-,-,1.1%,2.7%,66.2%,59.0%,48.5%,55.5%,43.6%,49.6%,0.98
Semi-finals,4,0,4,0.0%,0-7,0.0%,15-43,25.9%,0-0,-,4,-,-,1.1%,3.2%,69.7%,51.9%,35.7%,47.0%,31.7%,39.5%,0.60
Quarter-finals,16,4,12,25.0%,10-21,32.3%,112-162,40.9%,0-1,0.0%,14,-,-,0.6%,2.4%,66.8%,54.2%,48.1%,52.2%,38.7%,45.6%,0.81
vs Righties,215,87,128,40.5%,209-266,44.0%,1992-2274,46.7%,15-16,48.4%,180,-,-,1.3%,3.0%,65.0%,57.9%,45.9%,53.7%,43.0%,48.4%,0.93
vs Lefties,18,11,7,61.1%,23-15,60.5%,188-174,51.9%,5-2,71.4%,14,-,-,2.0%,3.2%,63.6%,62.1%,44.8%,55.8%,41.3%,48.5%,0.94
vs Top 10,23,0,23,0.0%,2-43,4.4%,88-260,25.3%,0-0,-,21,-,-,1.1%,3.2%,60.9%,50.9%,37.5%,45.6%,33.0%,39.5%,0.61
