Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1999 Singapore F,L vs Rios,18.5%,25.0%,45.9%,22.5%,26.3%,35.1%,42.9%,32.8%,76.9%,38.7%,42.9%,5.9%,8.8%,50.0%,-55
Career (1 matches),,18.5%,25.0%,45.9%,22.5%,26.3%,35.1%,42.9%,32.8%,76.9%,38.7%,42.9%,5.9%,8.8%,50.0%,-55
