Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2017,572,51,226,1506,205,1478,190,1490,164,1469,,,,
2016,155,396,188,1552,168,1536,166,1518,152,1498,995,28,,
2015,172,297,151,1600,122,1594,148,1544,113,1563,564,100,,
2014,874,17,,,,,,,,,,,,
2013,121,467,70,1748,72,1693,90,1655,45,1684,395,155,,
2012,55,782,66,1759,57,1722,100,1638,49,1681,525,101,,
2011,116,491,169,1583,153,1547,151,1534,108,1555,252,252,,
2010,142,384,179,1561,145,1555,183,1513,112,1536,483,98,,
2009,174,283,202,1544,209,1478,168,1533,88,1573,836,33,,
2008,200,212,190,1550,199,1476,165,1540,,,636,64,,
2007,336,106,392,1317,366,1295,330,1332,,,476,93,,
2006,335,110,327,1370,275,1377,296,1357,146,1475,843,29,,
2005,329,94,,,,,,,,,600,56,,
2004,608,30,,,,,,,,,660,47,,
