Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Roland Garros Q1,W vs Mejia,12.3%,32.5%,67.0%,25.0%,15.7%,40.0%,71.2%,36.4%,24.1%,68.3%,100.0%,7.3%,22.0%,60.5%,-43
2022 US Open R128,L vs Isner,25.0%,38.2%,52.0%,32.8%,29.3%,46.3%,58.6%,43.7%,26.3%,50.0%,66.7%,25.0%,35.7%,42.9%,102
2022 Gstaad R16,L vs Thiem,23.6%,31.9%,50.9%,29.6%,25.5%,36.2%,48.6%,34.7%,30.0%,66.7%,50.0%,21.7%,26.1%,55.6%,42
2022 Wimbledon R128,L vs Van Rijthoven,24.1%,39.2%,46.6%,31.1%,24.5%,43.4%,47.5%,35.1%,16.7%,58.6%,100.0%,25.0%,33.3%,44.4%,37
2022 Indian Wells R64,L vs Kyrgios,17.6%,27.5%,46.3%,21.6%,25.7%,37.1%,38.5%,31.4%,25.0%,60.0%,100.0%,0.0%,6.7%,60.0%,-118
2022 Rio de Janeiro R16,L vs Alcaraz,20.3%,29.7%,50.0%,24.5%,25.0%,32.5%,56.7%,31.8%,16.7%,77.3%,100.0%,13.0%,26.1%,40.0%,-16
2022 Buenos Aires R32,W vs Del Potro,21.4%,52.4%,66.7%,36.2%,30.0%,63.3%,71.4%,50.7%,33.3%,53.3%,100.0%,0.0%,25.0%,58.3%,-118
2022 Australian Open R128,L vs Martinez,20.1%,27.1%,46.8%,24.9%,24.5%,33.0%,55.0%,31.0%,19.1%,49.2%,50.0%,8.8%,11.8%,25.8%,-31
2021 Rome QF,L vs Opelka,39.7%,46.0%,66.7%,43.8%,40.0%,48.9%,66.7%,45.8%,42.1%,46.2%,0.0%,43.8%,43.8%,66.7%,89
2021 Madrid R16,L vs Berrettini,29.0%,37.7%,54.3%,35.4%,31.3%,39.6%,51.5%,40.4%,24.0%,56.5%,100.0%,27.8%,38.9%,61.5%,137
2019 Bastad SF,L vs Jarry,27.3%,36.4%,37.9%,30.7%,37.0%,48.1%,29.4%,42.6%,25.0%,53.3%,33.3%,14.3%,21.4%,50.0%,11
2019 Cordoba SF,L vs Londero,22.0%,26.0%,32.3%,24.4%,34.8%,34.8%,20.0%,40.0%,33.3%,35.7%,50.0%,15.8%,26.3%,43.8%,4
2019 Cordoba QF,W vs Munar,24.7%,43.5%,57.9%,33.8%,26.3%,49.1%,57.1%,39.8%,33.3%,66.7%,62.5%,28.6%,42.9%,60.0%,118
2018 Indian Wells R64,L vs Federer,31.0%,38.0%,53.2%,33.1%,30.3%,39.4%,60.9%,34.8%,15.4%,40.0%,-,33.3%,38.9%,45.8%,1
2017 Indian Wells R64,L vs Del Potro,22.2%,30.6%,50.0%,29.0%,25.5%,36.2%,51.4%,36.0%,5.3%,28.6%,40.0%,21.1%,26.3%,46.7%,58
2016 Shanghai R64,L vs Edmund,36.1%,45.8%,55.1%,42.9%,44.0%,52.0%,60.7%,55.2%,38.1%,58.6%,100.0%,27.6%,41.4%,47.6%,105
2016 Bucharest SF,L vs Pouille,18.1%,27.8%,60.0%,25.6%,22.7%,36.4%,58.8%,35.0%,29.4%,66.7%,50.0%,12.5%,16.7%,61.9%,4
2016 Marrakech F,W vs Coric,34.9%,42.9%,53.8%,41.7%,43.9%,56.1%,65.2%,54.4%,31.6%,54.5%,0.0%,20.0%,20.0%,37.5%,59
2016 Miami R128,W vs Ymer,25.0%,33.8%,56.8%,27.9%,42.9%,54.3%,55.0%,48.6%,42.1%,50.0%,100.0%,7.7%,15.4%,58.3%,-51
2016 Indian Wells R16,L vs Monfils,23.3%,27.4%,44.2%,27.1%,19.5%,24.4%,42.4%,26.3%,23.5%,58.3%,75.0%,32.1%,35.7%,47.4%,110
Career (30 matches),,24.5%,34.3%,51.3%,30.2%,29.7%,41.3%,53.2%,39.1%,27.3%,55.3%,62.1%,18.1%,25.8%,48.3%,60
