Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,103,28,75,27.2%,85-180,32.1%,1187-1470,44.7%,24-31,43.6%,101,74.6%,15.6%,5.4%,4.5%,60.2%,68.7%,49.7%,61.1%,33.7%,47.5%,0.87
Clay,250,137,113,54.8%,331-287,53.6%,3142-2965,51.4%,50-60,45.5%,247,77.1%,25.8%,4.1%,4.2%,61.9%,69.0%,51.5%,62.3%,39.0%,50.6%,1.04
Grass,12,0,12,0.0%,3-31,8.8%,124-204,37.8%,1-5,16.7%,12,70.4%,7.3%,5.4%,5.6%,61.2%,68.7%,44.6%,59.3%,28.7%,44.6%,0.71
Grand Slams,45,12,33,26.7%,52-108,32.5%,702-835,45.7%,10-17,37.0%,45,74.3%,18.1%,4.9%,4.0%,62.1%,68.4%,48.8%,61.0%,34.7%,48.0%,0.89
Masters,61,22,39,36.1%,57-88,39.3%,672-768,46.7%,12-14,46.2%,61,73.5%,20.3%,4.0%,4.8%,60.3%,67.9%,51.2%,61.3%,36.3%,48.6%,0.94
Other Tours,251,126,125,50.2%,292-288,50.3%,2914-2883,50.3%,51-63,44.7%,250,77.2%,23.6%,4.6%,4.3%,61.4%,69.2%,50.9%,62.2%,38.0%,50.1%,1.00
Best of 5,52,16,36,30.8%,67-122,35.4%,849-979,46.4%,12-19,38.7%,48,74.5%,18.6%,4.8%,3.9%,62.0%,68.4%,49.1%,61.1%,34.8%,48.1%,0.89
Best of 3,313,149,164,47.6%,352-376,48.4%,3604-3660,49.6%,63-77,45.0%,312,76.5%,23.0%,4.5%,4.4%,61.2%,69.0%,51.1%,62.1%,37.7%,49.8%,0.99
Finals,4,2,2,50.0%,5-5,50.0%,49-49,50.0%,0-2,0.0%,4,83.3%,18.8%,7.0%,2.1%,62.7%,72.0%,52.0%,64.5%,34.9%,50.4%,0.98
Semi-finals,18,4,14,22.2%,14-29,32.6%,186-236,44.1%,4-3,57.1%,18,71.2%,16.4%,3.1%,4.5%,61.2%,64.9%,52.7%,60.1%,34.1%,47.2%,0.86
Quarter-finals,36,18,18,50.0%,40-41,49.4%,415-422,49.6%,9-10,47.4%,35,78.7%,20.7%,4.6%,3.9%,60.4%,70.4%,52.1%,63.1%,35.8%,49.4%,0.97
vs Righties,302,139,163,46.0%,354-408,46.5%,3727-3827,49.3%,56-82,40.6%,298,76.4%,22.7%,4.6%,4.4%,61.1%,69.2%,50.7%,62.0%,37.4%,49.7%,0.98
vs Lefties,63,26,37,41.3%,65-90,41.9%,726-812,47.2%,19-14,57.6%,62,74.9%,19.1%,4.0%,4.0%,62.9%,67.6%,50.5%,61.2%,36.0%,48.6%,0.93
vs Top 10,25,3,22,12.0%,15-52,22.4%,254-389,39.5%,5-7,41.7%,25,67.6%,11.9%,3.5%,4.0%,62.1%,63.2%,49.4%,58.0%,30.7%,45.0%,0.73
