Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,1250,20,,
2023,279,208,186,1571,210,1481,146,1561,,,,,,
2022,125,456,119,1663,162,1551,88,1658,209,1413,,,,
2021,44,1327,78,1726,144,1564,44,1749,190,1451,,,,
2020,82,825,91,1696,109,1586,52,1716,,,153,510,,
2019,76,732,97,1705,117,1617,54,1719,189,1443,125,670,83,1645
2018,80,678,55,1771,85,1667,39,1759,157,1488,132,580,99,1583
2017,68,755,45,1813,62,1714,36,1801,,,403,135,,
2016,41,1040,62,1774,98,1649,36,1794,151,1499,152,495,105,1557
2015,52,815,93,1710,162,1529,48,1745,177,1475,254,270,120,1498
2014,60,775,112,1669,195,1502,65,1704,165,1456,186,405,115,1488
2013,55,836,87,1706,176,1515,53,1735,136,1506,189,367,,
2012,133,414,173,1578,243,1429,111,1604,,,251,264,,
2011,166,306,224,1509,300,1347,159,1525,198,1431,260,243,,
2010,160,335,268,1465,330,1303,196,1500,,,350,171,,
2009,195,243,220,1522,279,1389,190,1508,,,845,32,,
2008,822,17,,,,,,,,,1029,20,,
2007,1197,4,,,,,,,,,1213,10,,
