Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Roland Garros Q1,W vs Mejia,0.0%,-,18.8%,76.2%,13.0%,14.1%,7.5%,7.6%,5.6%,0.9%,20.0%,-16,-33
2022 US Open R128,L vs Isner,0.0%,-,6.1%,44.4%,16.7%,25.0%,0.0%,15.6%,0.0%,1.5%,100.0%,39,-36
2022 Gstaad R16,L vs Thiem,0.0%,-,10.1%,57.1%,9.9%,15.2%,20.0%,5.2%,11.8%,0.7%,0.0%,-12,-2
2022 Wimbledon R128,L vs Van Rijthoven,5.1%,75.0%,14.7%,73.9%,17.3%,22.2%,11.8%,5.9%,14.3%,0.0%,-,47,1
2022 Indian Wells R64,L vs Kyrgios,0.0%,-,8.2%,87.5%,11.6%,27.3%,0.0%,4.8%,0.0%,1.3%,100.0%,-47,-83
2022 Rio de Janeiro R16,L vs Alcaraz,0.0%,-,4.6%,50.0%,9.4%,8.3%,13.5%,12.9%,16.7%,0.4%,0.0%,-47,-43
2022 Buenos Aires R32,W vs Del Potro,0.0%,-,4.1%,50.0%,16.3%,16.0%,0.0%,3.8%,0.0%,3.9%,87.5%,20,11
2022 Australian Open R128,L vs Martinez,0.0%,-,15.0%,67.4%,12.0%,19.4%,10.3%,8.2%,23.1%,0.2%,0.0%,-18,-9
2021 Rome QF,L vs Opelka,0.0%,-,5.1%,71.4%,7.2%,9.1%,0.0%,15.0%,0.0%,1.4%,50.0%,-101,-53
2021 Madrid R16,L vs Berrettini,1.5%,100.0%,6.7%,77.8%,14.3%,33.3%,0.0%,7.5%,0.0%,2.6%,20.0%,-23,-55
2019 Bastad SF,L vs Jarry,0.0%,-,4.2%,0.0%,16.7%,37.5%,50.0%,6.7%,40.0%,0.0%,-,-83,-50
2019 Cordoba SF,L vs Londero,0.0%,-,2.2%,50.0%,9.2%,28.6%,14.3%,0.0%,0.0%,0.0%,-,12,36
2019 Cordoba QF,W vs Munar,1.2%,0.0%,9.9%,68.8%,17.3%,30.6%,7.1%,13.2%,16.7%,1.5%,50.0%,34,63
2018 Indian Wells R64,L vs Federer,0.0%,-,2.0%,100.0%,15.4%,25.0%,13.3%,6.7%,0.0%,0.0%,-,-76,-65
2017 Indian Wells R64,L vs Del Potro,0.0%,-,4.0%,50.0%,11.1%,16.2%,9.1%,8.3%,6.7%,0.7%,0.0%,-19,-9
2016 Shanghai R64,L vs Edmund,0.0%,-,10.2%,61.1%,10.9%,17.5%,10.5%,10.0%,0.0%,1.1%,33.3%,-24,11
2016 Bucharest SF,L vs Pouille,1.4%,100.0%,10.5%,81.3%,13.7%,17.6%,0.0%,8.3%,25.0%,0.8%,0.0%,3,7
2016 Marrakech F,W vs Coric,0.0%,-,7.3%,66.7%,12.6%,23.1%,20.0%,1.9%,7.7%,1.9%,50.0%,21,51
2016 Miami R128,W vs Ymer,0.0%,-,6.8%,80.0%,7.5%,16.7%,8.7%,1.4%,16.7%,3.8%,45.5%,-23,10
2016 Indian Wells R16,L vs Monfils,0.0%,-,9.7%,58.3%,6.7%,4.3%,0.0%,4.7%,40.0%,1.8%,25.0%,19,22
Career (30 matches),,0.5%,54.5%,8.8%,66.3%,11.8%,18.1%,8.7%,6.3%,9.5%,1.0%,38.3%,-14,-12
