Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,29,14,15,48.3%,30-31,49.2%,278-265,51.2%,2-2,50.0%,28,58.8%,42.6%,1.9%,3.8%,69.9%,57.3%,44.4%,53.4%,46.4%,50.0%,1.00,SF (W15 Monastir)
2023,24,15,9,62.5%,29-19,60.4%,234-180,56.5%,1-1,50.0%,0,,,,,,,,,,,,F (3x)
2022,28,14,14,50.0%,33-30,52.4%,299-262,53.3%,0-1,0.0%,0,,,,,,,,,,,,F (W15 Antalya)
2021,12,1,11,8.3%,3-22,12.0%,81-143,36.2%,0-1,0.0%,0,,,,,,,,,,,,R16 (W15 Lousada)
2020,21,7,14,33.3%,17-30,36.2%,199-246,44.7%,2-1,66.7%,0,,,,,,,,,,,,QF (2x)
2019,27,16,11,59.3%,35-24,59.3%,271-240,53.0%,0-1,0.0%,0,,,,,,,,,,,,SF (2x)
2018,25,9,16,36.0%,20-33,37.7%,214-240,47.1%,2-3,40.0%,0,,,,,,,,,,,,QF (2x)
2017,48,23,25,47.9%,52-57,47.7%,494-480,50.7%,3-5,37.5%,0,,,,,,,,,,,,SF (Hammamet $15K)
2016,55,33,22,60.0%,71-56,55.9%,614-570,51.9%,5-4,55.6%,0,,,,,,,,,,,,W (Ponta Delgada Azores $10K)
2015,31,12,19,38.7%,26-39,40.0%,271-300,47.5%,0-1,0.0%,0,,,,,,,,,,,,QF (5x)
2014,27,14,13,51.9%,29-28,50.9%,261-234,52.7%,3-3,50.0%,0,,,,,,,,,,,,QF (4x)
2013,6,2,4,33.3%,5-8,38.5%,48-56,46.2%,1-0,100.0%,0,,,,,,,,,,,,R16 (2x)
Career,333,160,173,48.0%,350-377,48.1%,3264-3216,50.4%,19-23,45.2%,28,58.8%,42.6%,1.9%,3.8%,69.9%,57.3%,44.4%,53.4%,46.4%,50.0%,1.00,
