Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,21,11,10,52.4%,25-25,50.0%,232-246,48.5%,4-1,80.0%,21,51.2%,43.4%,1.4%,12.0%,61.3%,59.6%,35.7%,50.4%,47.0%,48.6%,0.95,SF (W50 Indian Harbour Beach FL)
2024,32,13,19,40.6%,30-40,42.9%,292-345,45.8%,3-3,50.0%,0,,,,,,,,,,,,SF (W15 Mysuru)
2023,21,8,13,38.1%,21-24,46.7%,184-193,48.8%,1-1,50.0%,0,,,,,,,,,,,,QF (W15 Tbilisi)
2022,22,5,17,22.7%,12-33,26.7%,170-227,42.8%,0-6,0.0%,0,,,,,,,,,,,,SF (W25 Rio de Janeiro)
2021,27,9,18,33.3%,22-38,36.7%,222-293,43.1%,2-0,100.0%,2,26.7%,13.3%,1.1%,12.8%,58.5%,43.6%,33.3%,39.4%,35.4%,37.4%,0.58,R16 (9x)
2020,10,3,7,30.0%,9-16,36.0%,97-133,42.2%,1-1,50.0%,0,,,,,,,,,,,,QF (W25 Jodhpur)
2019,34,19,15,55.9%,41-34,54.7%,345-329,51.2%,5-1,83.3%,0,,,,,,,,,,,,W (W25 Lagos)
2018,32,13,19,40.6%,32-40,44.4%,331-355,48.3%,3-7,30.0%,0,,,,,,,,,,,,SF (Lagos $25K)
2017,40,24,16,60.0%,53-38,58.2%,442-388,53.3%,4-3,57.1%,0,,,,,,,,,,,,W (Colombo $15K)
2016,40,23,17,57.5%,50-37,57.5%,394-346,53.2%,1-1,50.0%,0,,,,,,,,,,,,W (Sharm El Sheikh $10K)
2015,35,18,17,51.4%,38-37,50.7%,350-335,51.1%,2-4,33.3%,0,,,,,,,,,,,,F (Gulbarga $10K)
2014,12,3,9,25.0%,6-18,25.0%,91-125,42.1%,1-2,33.3%,0,,,,,,,,,,,,R16 (4x)
2013,7,3,4,42.9%,7-8,46.7%,67-66,50.4%,0-2,0.0%,0,,,,,,,,,,,,QF (Mumbai 15K)
2012,6,1,5,16.7%,2-10,16.7%,31-62,33.3%,0-0,-,0,,,,,,,,,,,,R16 (New Delhi 10K)
Career,339,153,186,45.1%,348-398,46.6%,3248-3443,48.5%,27-32,45.8%,23,49.6%,41.5%,1.3%,12.0%,61.1%,58.6%,35.6%,49.7%,46.3%,47.9%,0.92,
